type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388934.935723761,804995.164846267,17.5486218070519,0.015,0.046,26/09/2023 6:12:05 a.m.,638313055250000000
World,388934.926101517,804995.180915311,17.5449330782565,0.015,0.046,26/09/2023 6:12:06 a.m.,638313055260000000
World,388934.905387384,804995.183800136,17.5503265550246,0.015,0.046,26/09/2023 6:12:07 a.m.,638313055270000000
World,388934.899439447,804995.189399742,17.5525994018431,0.015,0.046,26/09/2023 6:12:08 a.m.,638313055280000000
World,388934.90330754,804995.19399324,17.5807950671748,0.013,0.046,26/09/2023 6:12:09 a.m.,638313055290000000
World,388934.905752701,804995.1984257,17.5790675115538,0.013,0.046,26/09/2023 6:12:10 a.m.,638313055300000000
World,388934.713238765,804995.192982091,17.6543788448366,0.014,0.046,26/09/2023 6:12:11 a.m.,638313055310000000
World,388933.976845384,804995.138978087,17.78550407984,0.014,0.04,26/09/2023 6:12:12 a.m.,638313055320000000
World,388932.875952807,804995.146078708,17.8702176201896,0.014,0.04,26/09/2023 6:12:13 a.m.,638313055330000000
World,388931.668417444,804995.163632224,17.8438953475115,0.014,0.038,26/09/2023 6:12:14 a.m.,638313055340000000
World,388930.402746885,804995.146041297,17.8796926804944,0.014,0.038,26/09/2023 6:12:15 a.m.,638313055350000000
World,388929.165155875,804995.227433391,17.903895044476,0.033,0.041,26/09/2023 6:12:16 a.m.,638313055360000000
World,388927.891629104,804995.271160001,17.8943382319832,0.032,0.041,26/09/2023 6:12:17 a.m.,638313055370000000
World,388926.660240906,804995.332827374,17.9182444480314,0.015,0.054,26/09/2023 6:12:18 a.m.,638313055380000000
World,388925.515448007,804995.350551469,17.9861979386705,0.016,0.054,26/09/2023 6:12:19 a.m.,638313055390000000
World,388924.369345937,804995.361557317,17.9042555550091,0.015,0.054,26/09/2023 6:12:20 a.m.,638313055400000000
World,388923.176020219,804995.464646065,18.0269789462049,0.015,0.043,26/09/2023 6:12:21 a.m.,638313055410000000
World,388922.020342778,804995.490552596,17.999631486261,0.015,0.044,26/09/2023 6:12:22 a.m.,638313055420000000
World,388920.865664841,804995.552185721,17.99448429647,0.016,0.043,26/09/2023 6:12:23 a.m.,638313055430000000
World,388919.698182004,804995.637313933,18.0005795426469,0.016,0.044,26/09/2023 6:12:24 a.m.,638313055440000000
World,388918.539718714,804995.687592427,18.0279098073824,0.016,0.042,26/09/2023 6:12:25 a.m.,638313055450000000
World,388917.432043628,804995.894220051,18.0181753446839,0.017,0.043,26/09/2023 6:12:26 a.m.,638313055460000000
World,388916.384224564,804996.072397092,17.8805714465993,0.016,0.041,26/09/2023 6:12:27 a.m.,638313055470000000
World,388915.506721202,804996.234010165,17.8688008479646,0.016,0.041,26/09/2023 6:12:28 a.m.,638313055480000000
World,388915.045095558,804996.241876591,17.7711917076549,0.016,0.04,26/09/2023 6:12:29 a.m.,638313055490000000
World,388914.988525988,804996.231873555,17.7494438606092,0.016,0.04,26/09/2023 6:12:30 a.m.,638313055500000000
World,388914.976627751,804996.220347849,17.7473538527748,0.017,0.041,26/09/2023 6:12:31 a.m.,638313055510000000
World,388914.956992917,804996.20865812,17.7221706088494,0.017,0.042,26/09/2023 6:12:32 a.m.,638313055520000000
World,388914.956622886,804996.235601305,17.6888283573472,0.016,0.04,26/09/2023 6:12:33 a.m.,638313055530000000
World,388914.936237346,804996.234407072,17.6876073085379,0.016,0.04,26/09/2023 6:12:34 a.m.,638313055540000000
World,388914.951047477,804996.250469446,17.7313340422087,0.014,0.035,26/09/2023 6:12:35 a.m.,638313055550000000
World,388914.951412018,804996.261955685,17.7373216762568,0.014,0.035,26/09/2023 6:12:36 a.m.,638313055560000000
World,388914.941335136,804996.259499907,17.792090715286,0.015,0.035,26/09/2023 6:12:37 a.m.,638313055570000000
