id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388966.221641764,804986.759198845,17.4099178217699,0.014,0.02,28/09/2023 11:43:39 p.m.,638315414190000000
2,World,388966.22785384,804986.746020363,17.4089605940204,0.014,0.02,28/09/2023 11:43:40 p.m.,638315414200000000
3,World,388966.225463022,804986.742344208,17.4116289085854,0.015,0.022,28/09/2023 11:43:41 p.m.,638315414210000000
4,World,388966.232729484,804986.7323786,17.3953254660274,0.01,0.014,28/09/2023 11:43:42 p.m.,638315414220000000
5,World,388966.225746221,804986.744272519,17.4032062274922,0.011,0.016,28/09/2023 11:43:43 p.m.,638315414230000000
6,World,388966.232854347,804986.737314016,17.3931150247053,0.011,0.016,28/09/2023 11:43:44 p.m.,638315414240000000
7,World,388966.232163897,804986.739935579,17.3929713074731,0.01,0.014,28/09/2023 11:43:45 p.m.,638315414250000000
8,World,388966.177041269,804986.753186015,17.420506520839,0.009,0.013,28/09/2023 11:43:46 p.m.,638315414260000000
9,World,388965.452232246,804986.982735699,17.5458399954169,0.01,0.015,28/09/2023 11:43:47 p.m.,638315414270000000
10,World,388964.488514205,804987.418817523,17.5678016576166,0.012,0.016,28/09/2023 11:43:48 p.m.,638315414280000000
11,World,388963.286638604,804988.297502052,17.6025258797819,0.012,0.016,28/09/2023 11:43:49 p.m.,638315414290000000
12,World,388962.163597778,804989.116073146,17.5423708073079,0.014,0.019,28/09/2023 11:43:50 p.m.,638315414300000000
13,World,388960.940941477,804989.813548711,17.6412244131279,0.014,0.02,28/09/2023 11:43:51 p.m.,638315414310000000
14,World,388959.662896741,804990.481486493,17.6667129971235,0.016,0.022,28/09/2023 11:43:52 p.m.,638315414320000000
15,World,388958.345245811,804991.030855262,17.6917745777394,0.018,0.025,28/09/2023 11:43:53 p.m.,638315414330000000
16,World,388956.94904541,804991.459721701,17.7115394420435,0.017,0.024,28/09/2023 11:43:54 p.m.,638315414340000000
17,World,388955.515530866,804991.782895107,17.7100190295804,0.018,0.025,28/09/2023 11:43:55 p.m.,638315414350000000
18,World,388954.171316664,804992.080332818,17.71291112735,0.017,0.023,28/09/2023 11:43:56 p.m.,638315414360000000
19,World,388952.77318079,804992.363963988,17.7182086866823,0.018,0.024,28/09/2023 11:43:57 p.m.,638315414370000000
20,World,388951.370045324,804992.675187711,17.6992743745938,0.013,0.018,28/09/2023 11:43:58 p.m.,638315414380000000
21,World,388949.904618859,804992.933867755,17.7199516065314,0.013,0.019,28/09/2023 11:43:59 p.m.,638315414390000000
22,World,388948.412907412,804993.139425161,17.7284752967353,0.011,0.015,28/09/2023 11:44:00 p.m.,638315414400000000
23,World,388946.994359658,804993.310463121,17.7217470040056,0.012,0.017,28/09/2023 11:44:01 p.m.,638315414410000000
24,World,388945.543550842,804993.513550072,17.7268756077592,0.013,0.019,28/09/2023 11:44:02 p.m.,638315414420000000
25,World,388944.070244074,804993.802604762,17.7383017051129,0.012,0.017,28/09/2023 11:44:03 p.m.,638315414430000000
26,World,388942.575415734,804994.025484458,17.7200596856721,0.01,0.015,28/09/2023 11:44:04 p.m.,638315414440000000
27,World,388941.06495744,804994.177245329,17.7296438101096,0.011,0.015,28/09/2023 11:44:05 p.m.,638315414450000000
28,World,388939.599017276,804994.315047833,17.7431902279878,0.012,0.016,28/09/2023 11:44:06 p.m.,638315414460000000
29,World,388938.20663277,804994.441624171,17.7699098380701,0.01,0.014,28/09/2023 11:44:07 p.m.,638315414470000000
30,World,388936.954423682,804994.651728371,17.7906430688541,0.011,0.016,28/09/2023 11:44:08 p.m.,638315414480000000
31,World,388935.906272396,804994.886940972,17.8113119162528,0.009,0.013,28/09/2023 11:44:09 p.m.,638315414490000000
32,World,388935.248955481,804995.034974122,17.7371142821087,0.008,0.011,28/09/2023 11:44:10 p.m.,638315414500000000
33,World,388935.095691248,804995.08068833,17.6612253518091,0.009,0.013,28/09/2023 11:44:11 p.m.,638315414510000000
34,World,388935.058274815,804995.071227077,17.6432074939243,0.008,0.012,28/09/2023 11:44:12 p.m.,638315414520000000
35,World,388935.058342376,804995.063433796,17.6554745668421,0.009,0.013,28/09/2023 11:44:13 p.m.,638315414530000000
36,World,388935.057078922,804995.067842317,17.6572119146777,0.009,0.012,28/09/2023 11:44:14 p.m.,638315414540000000
37,World,388935.047920431,804995.028096463,17.654892665816,0.009,0.013,28/09/2023 11:44:15 p.m.,638315414550000000
38,World,388935.072419485,804995.038918308,17.6501239252031,0.01,0.014,28/09/2023 11:44:16 p.m.,638315414560000000
