id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
39,World,388966.236168088,804986.736458238,17.4162989029513,0.014,0.023,28/09/2023 10:17:23 p.m.,638315362430000000
76,World,388935.05386741,804995.080224102,17.6597880737989,0.011,0.018,28/09/2023 10:18:00 p.m.,638315362800000000
101,World,388915.088501035,804996.122737294,17.7976909794653,0.014,0.022,28/09/2023 10:18:25 p.m.,638315363050000000
166,World,388856.082274229,805002.330898209,18.0746619260638,0.009,0.014,28/09/2023 10:19:30 p.m.,638315363700000000
708,Device,388871.625341278,805052.432897385,18.6234895997554,0.205211800289723,0.0897991818642389,28/09/2023 10:20:13 p.m.,638315364130012340
1331,Device,388872.211971037,805053.619505652,18.6709874742903,0.193549426551658,0.0934980853860352,28/09/2023 10:20:34 p.m.,638315364340124550
1725,World,388932.397837711,805058.109536919,17.6232627282717,0.009,0.014,28/09/2023 10:21:33 p.m.,638315364930000000
1774,World,388937.133704644,805075.661233385,17.4382908394647,0.035,0.055,28/09/2023 10:21:52 p.m.,638315365120000000
1809,World,388955.57265929,805082.36778059,17.3288871292205,0.102,0.147,28/09/2023 10:22:27 p.m.,638315365470000000
2511,World,388954.252346944,805116.851844405,17.4533377872964,0.017,0.028,28/09/2023 10:23:07 p.m.,638315365870000000
2553,World,388965.902271121,805075.842295079,17.6360431605871,0.121,0.159,28/09/2023 10:23:49 p.m.,638315366290000000
2874,Device,388973.490263273,805071.208027035,17.58859714511,0.268542074602065,0.169492962192408,28/09/2023 10:24:12 p.m.,638315366529828440
3262,Device,388983.991017763,805063.004501559,20.3102879235428,0.239926755282162,0.176978261206169,28/09/2023 10:24:25 p.m.,638315366659968910
4211,World,388987.654729803,805026.154191171,17.1802511969038,0.026,0.041,28/09/2023 10:25:07 p.m.,638315367070000000
4241,World,388986.86632583,805016.41372743,17.138575649892,0.013,0.024,28/09/2023 10:25:37 p.m.,638315367370000000
