type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388967.220559486,804990.94424592,19.6727372559093,0.74,1.333,28/09/2023 10:28:13 p.m.,638315368930000000
World,388967.203043927,804990.924104055,19.6822034532906,0.778,1.4,28/09/2023 10:28:14 p.m.,638315368940000000
World,388967.075079088,804990.90758901,19.6910314818559,0.765,1.364,28/09/2023 10:28:15 p.m.,638315368950000000
World,388966.294703376,804991.098999265,19.6838726705696,0.745,1.341,28/09/2023 10:28:16 p.m.,638315368960000000
World,388965.414975793,804991.187127896,17.646985707857,0.426,0.671,28/09/2023 10:28:17 p.m.,638315368970000000
World,388964.518093987,804991.460161664,17.6134113652439,0.426,0.671,28/09/2023 10:28:18 p.m.,638315368980000000
World,388963.98634211,804991.490365193,17.5468236335405,0.01,0.016,28/09/2023 10:28:19 p.m.,638315368990000000
World,388963.290998497,804991.671427123,17.5464843999156,0.01,0.017,28/09/2023 10:28:20 p.m.,638315369000000000
World,388962.671785398,804991.819180996,17.5516128954174,0.009,0.015,28/09/2023 10:28:21 p.m.,638315369010000000
World,388962.075944014,804991.814055305,17.5643785707245,0.011,0.018,28/09/2023 10:28:22 p.m.,638315369020000000
World,388961.7981163,804991.282576452,17.5719303380039,0.01,0.016,28/09/2023 10:28:23 p.m.,638315369030000000
World,388961.763794443,804990.598045828,17.5758161326766,0.011,0.018,28/09/2023 10:28:24 p.m.,638315369040000000
World,388961.800481544,804989.914630269,17.5340132838791,0.01,0.016,28/09/2023 10:28:25 p.m.,638315369050000000
World,388962.119377678,804989.453530436,17.5521633412916,0.01,0.017,28/09/2023 10:28:26 p.m.,638315369060000000
World,388962.867964953,804989.002573841,17.5433733543782,0.01,0.016,28/09/2023 10:28:27 p.m.,638315369070000000
World,388963.634775056,804988.606392534,17.566634130575,0.012,0.02,28/09/2023 10:28:28 p.m.,638315369080000000
World,388964.467381544,804988.214933696,17.6139098652867,0.013,0.021,28/09/2023 10:28:29 p.m.,638315369090000000
World,388965.342860658,804987.90429206,17.5057669130618,0.012,0.02,28/09/2023 10:28:30 p.m.,638315369100000000
World,388966.184491632,804987.742757228,17.5722661316737,0.012,0.02,28/09/2023 10:28:31 p.m.,638315369110000000
World,388966.960905157,804987.968557961,17.5920662406317,0.013,0.021,28/09/2023 10:28:32 p.m.,638315369120000000
World,388967.581944839,804988.695368993,17.6033444317412,0.012,0.021,28/09/2023 10:28:33 p.m.,638315369130000000
World,388967.91990581,804989.572132052,17.5907101060516,0.012,0.022,28/09/2023 10:28:34 p.m.,638315369140000000
World,388967.862119657,804990.219185612,17.5848580600823,0.01,0.017,28/09/2023 10:28:35 p.m.,638315369150000000
World,388967.174145699,804990.628634395,17.5961760819809,0.011,0.019,28/09/2023 10:28:36 p.m.,638315369160000000
World,388966.6793702,804990.262619807,17.6294062513786,0.011,0.02,28/09/2023 10:28:37 p.m.,638315369170000000
World,388966.414502242,804989.410444797,17.6158186870026,0.011,0.018,28/09/2023 10:28:38 p.m.,638315369180000000
World,388966.166793215,804988.480506953,17.5765614321903,0.009,0.016,28/09/2023 10:28:39 p.m.,638315369190000000
World,388965.857439873,804987.561602231,17.5597601015047,0.01,0.018,28/09/2023 10:28:40 p.m.,638315369200000000
World,388965.773377633,804986.921577843,17.5410291899902,0.011,0.018,28/09/2023 10:28:41 p.m.,638315369210000000
World,388966.360760903,804986.637358046,17.6164958704622,0.011,0.019,28/09/2023 10:28:42 p.m.,638315369220000000
World,388966.988376963,804986.561526922,17.5360646475656,0.012,0.021,28/09/2023 10:28:43 p.m.,638315369230000000
World,388966.847878787,804986.677153598,17.4779691660991,0.012,0.021,28/09/2023 10:28:44 p.m.,638315369240000000
World,388966.381994874,804986.736206648,17.415782804622,0.012,0.023,28/09/2023 10:28:45 p.m.,638315369250000000
World,388966.215913596,804986.740106205,17.3937549087839,0.012,0.023,28/09/2023 10:28:46 p.m.,638315369260000000
World,388966.194287313,804986.701800023,17.3797630377338,0.011,0.02,28/09/2023 10:28:47 p.m.,638315369270000000
World,388966.184668913,804986.689790477,17.3841272708337,0.011,0.021,28/09/2023 10:28:48 p.m.,638315369280000000
World,388966.224046063,804986.742254845,17.405291180848,0.01,0.02,28/09/2023 10:28:49 p.m.,638315369290000000
World,388966.235435476,804986.728870815,17.3920611059643,0.011,0.021,28/09/2023 10:28:50 p.m.,638315369300000000
World,388966.222618715,804986.737303032,17.3936971604155,0.008,0.014,28/09/2023 10:28:51 p.m.,638315369310000000
World,388966.219952659,804986.735242707,17.3983562688792,0.008,0.015,28/09/2023 10:28:52 p.m.,638315369320000000
World,388966.213708682,804986.745940434,17.422685823345,0.008,0.013,28/09/2023 10:28:53 p.m.,638315369330000000
World,388966.211798479,804986.747473859,17.4288021571711,0.008,0.014,28/09/2023 10:28:54 p.m.,638315369340000000
World,388966.218470166,804986.74171905,17.4140268672422,0.007,0.012,28/09/2023 10:28:55 p.m.,638315369350000000
World,388966.167620057,804986.776982932,17.4770529276896,0.008,0.014,28/09/2023 10:28:56 p.m.,638315369360000000
World,388965.353215193,804987.151961608,17.5772997355184,0.009,0.015,28/09/2023 10:28:57 p.m.,638315369370000000
World,388964.15494499,804987.606584593,17.5656128794116,0.012,0.019,28/09/2023 10:28:58 p.m.,638315369380000000
World,388962.798079048,804988.286668069,17.6239012271458,0.01,0.018,28/09/2023 10:28:59 p.m.,638315369390000000
World,388961.420737264,804988.993678001,17.6109800946516,0.01,0.018,28/09/2023 10:29:00 p.m.,638315369400000000
World,388960.053413834,804989.593605626,17.6224047391498,0.015,0.026,28/09/2023 10:29:01 p.m.,638315369410000000
World,388958.67213121,804990.124449155,17.6389722917075,0.027,0.037,28/09/2023 10:29:02 p.m.,638315369420000000
World,388957.245026986,804990.720370013,17.5536783015476,0.018,0.029,28/09/2023 10:29:03 p.m.,638315369430000000
World,388955.752393587,804991.214049262,17.6184301774179,0.015,0.027,28/09/2023 10:29:04 p.m.,638315369440000000
World,388954.286317331,804991.633018323,17.6377738821289,0.013,0.026,28/09/2023 10:29:05 p.m.,638315369450000000
World,388952.833804428,804992.05751103,17.697452180561,0.014,0.028,28/09/2023 10:29:06 p.m.,638315369460000000
World,388951.32864427,804992.364591524,17.7306545149856,0.011,0.027,28/09/2023 10:29:07 p.m.,638315369470000000
World,388949.818627445,804992.670890332,17.7141268412492,0.012,0.027,28/09/2023 10:29:08 p.m.,638315369480000000
World,388948.261298586,804992.919652975,17.7349804477058,0.011,0.02,28/09/2023 10:29:09 p.m.,638315369490000000
World,388946.72375293,804993.194512476,17.7841275959818,0.011,0.021,28/09/2023 10:29:10 p.m.,638315369500000000
World,388945.174897338,804993.463735197,17.7987692168033,0.01,0.018,28/09/2023 10:29:11 p.m.,638315369510000000
World,388943.643653823,804993.664875772,17.7813781451348,0.01,0.018,28/09/2023 10:29:12 p.m.,638315369520000000
World,388942.123618098,804993.790758754,17.7894444728499,0.011,0.019,28/09/2023 10:29:13 p.m.,638315369530000000
World,388940.608019401,804993.941810323,17.7772442447124,0.009,0.016,28/09/2023 10:29:14 p.m.,638315369540000000
World,388939.173852276,804994.153512732,17.8011350157477,0.008,0.014,28/09/2023 10:29:15 p.m.,638315369550000000
World,388937.75772205,804994.441848348,17.801546301489,0.009,0.015,28/09/2023 10:29:16 p.m.,638315369560000000
World,388936.443185838,804994.824859368,17.7955736151773,0.008,0.014,28/09/2023 10:29:17 p.m.,638315369570000000
