id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388972.000377657,804999.306953477,19.199180973973,2.014,3.999,16/10/2023 3:39:10 a.m.,638330243500000000
2,World,388972.018697285,804999.303092584,19.0355645392391,4.372,8.678,16/10/2023 3:39:11 a.m.,638330243510000000
3,World,388971.951274177,804999.174373944,19.1998509284781,1.993,3.916,16/10/2023 3:39:12 a.m.,638330243520000000
4,World,388971.376058809,804998.429843246,19.2505536512698,2.008,3.946,16/10/2023 3:39:13 a.m.,638330243530000000
5,World,388970.592615401,804997.445180577,19.2587186522324,1.442,2.833,16/10/2023 3:39:14 a.m.,638330243540000000
6,World,388969.805572153,804996.496895425,19.2343284957337,1.229,2.414,16/10/2023 3:39:15 a.m.,638330243550000000
7,World,388969.118184703,804995.616871137,19.1915890862597,1.105,2.172,16/10/2023 3:39:16 a.m.,638330243560000000
8,World,388968.44273631,804994.884654034,19.2809676855782,1.133,2.226,16/10/2023 3:39:17 a.m.,638330243570000000
9,World,388967.70200427,804994.190744037,19.2538523300529,1.07,2.102,16/10/2023 3:39:18 a.m.,638330243580000000
10,World,388966.634035157,804993.73280475,19.3354954534407,1.099,2.16,16/10/2023 3:39:19 a.m.,638330243590000000
11,World,388966.115612388,804994.082141676,17.4629197114558,0.952,4.549,16/10/2023 3:39:20 a.m.,638330243600000000
12,World,388965.098365483,804994.040095266,17.4710995697418,0.953,4.55,16/10/2023 3:39:21 a.m.,638330243610000000
13,World,388964.216092681,804993.838850879,17.4990910893032,0.953,4.55,16/10/2023 3:39:22 a.m.,638330243620000000
14,World,388963.541328145,804993.609762126,17.7157381914809,0.809,3.862,16/10/2023 3:39:23 a.m.,638330243630000000
15,World,388963.017755069,804993.110987092,18.0807963004153,0.679,3.152,16/10/2023 3:39:24 a.m.,638330243640000000
16,World,388962.826014295,804992.45814436,18.1018906367793,0.679,3.152,16/10/2023 3:39:25 a.m.,638330243650000000
17,World,388963.063697818,804991.874884666,18.1372445754438,0.552,2.483,16/10/2023 3:39:26 a.m.,638330243660000000
18,World,388963.877428769,804991.43339504,18.3133558626323,0.545,2.482,16/10/2023 3:39:27 a.m.,638330243670000000
19,World,388964.946209076,804991.085652741,18.3213030512313,0.545,2.482,16/10/2023 3:39:28 a.m.,638330243680000000
20,World,388966.140368435,804990.818866259,18.2628132332355,0.545,2.482,16/10/2023 3:39:29 a.m.,638330243690000000
21,World,388967.288818161,804990.604211906,17.7712484145873,0.285,1.322,16/10/2023 3:39:30 a.m.,638330243700000000
22,World,388968.485169499,804990.394447804,17.7972792145942,0.285,1.322,16/10/2023 3:39:31 a.m.,638330243710000000
23,World,388969.517376773,804990.41804171,17.6815526444619,0.018,0.056,16/10/2023 3:39:32 a.m.,638330243720000000
24,World,388970.667170002,804990.318289176,17.6062593478902,0.019,0.057,16/10/2023 3:39:33 a.m.,638330243730000000
25,World,388971.672994801,804990.239097319,17.6274552175517,0.015,0.031,16/10/2023 3:39:34 a.m.,638330243740000000
26,World,388972.731398711,804990.241762829,17.573853558177,0.017,0.033,16/10/2023 3:39:35 a.m.,638330243750000000
