id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
19,World,388966.233734116,804986.700980526,17.3846900008813,0.015,0.029,26/09/2023 5:45:19 a.m.,638313039190000000
64,World,388935.032373958,804995.071983544,17.64017581224,0.008,0.018,26/09/2023 5:46:04 a.m.,638313039640000000
95,World,388915.068149395,804996.118313123,17.817654397903,0.008,0.014,26/09/2023 5:46:35 a.m.,638313039950000000
150,World,388856.086265192,805002.311322013,18.0696420780145,0.008,0.013,26/09/2023 5:47:30 a.m.,638313040500000000
213,World,388871.386831941,805052.302287082,18.9525007285711,0.024,0.049,26/09/2023 5:48:33 a.m.,638313041130000000
224,World,388872.038103232,805053.225043575,18.9851015523295,0.021,0.036,26/09/2023 5:48:44 a.m.,638313041240000000
284,World,388932.410244173,805058.159413224,17.5924506715135,0.008,0.013,26/09/2023 5:49:44 a.m.,638313041840000000
329,World,388937.190698038,805075.645037298,17.5078609305412,0.017,0.028,26/09/2023 5:50:29 a.m.,638313042290000000
355,World,388955.591525791,805082.409264374,17.5391902620687,0.151,0.216,26/09/2023 5:50:55 a.m.,638313042550000000
402,World,388954.252769431,805116.836421792,17.3680683020581,0.014,0.022,26/09/2023 5:51:42 a.m.,638313043020000000
453,World,388965.901714872,805075.739551211,17.4667413649971,0.076,0.112,26/09/2023 5:52:33 a.m.,638313043530000000
470,World,388973.386888591,805072.090394968,16.8210402575671,0.25,0.268,26/09/2023 5:52:50 a.m.,638313043700000000
489,World,388980.67129063,805067.036800608,17.0019424848301,0.413,0.437,26/09/2023 5:53:09 a.m.,638313043890000000
641,World,388987.675262924,805026.153605454,17.1404602747571,0.012,0.018,26/09/2023 5:55:41 a.m.,638313045410000000
673,World,388986.867481307,805016.423439418,17.1306997077963,0.026,0.055,26/09/2023 5:56:13 a.m.,638313045730000000
