type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388966.930510229,804987.519983429,17.5297937197313,0.017,0.028,28/09/2023 10:16:45 p.m.,638315362050000000
World,388966.860524091,804987.51707953,17.4746046755337,0.013,0.021,28/09/2023 10:16:46 p.m.,638315362060000000
World,388966.680207957,804987.548418157,17.4781314507978,0.014,0.023,28/09/2023 10:16:47 p.m.,638315362070000000
World,388965.981094079,804987.861394257,17.481593252836,0.015,0.025,28/09/2023 10:16:48 p.m.,638315362080000000
World,388965.040942707,804988.247205231,17.4870575322522,0.016,0.026,28/09/2023 10:16:49 p.m.,638315362090000000
World,388964.113588432,804988.600853097,17.5384949033959,0.016,0.026,28/09/2023 10:16:50 p.m.,638315362100000000
World,388963.205552435,804988.878064316,17.526027543209,0.014,0.024,28/09/2023 10:16:51 p.m.,638315362110000000
World,388962.373068869,804989.140880788,17.483479435633,0.018,0.029,28/09/2023 10:16:52 p.m.,638315362120000000
World,388961.910245556,804989.085244647,17.542592826448,0.02,0.032,28/09/2023 10:16:53 p.m.,638315362130000000
World,388961.956858635,804988.364831254,17.4855074723032,0.021,0.03,28/09/2023 10:16:54 p.m.,638315362140000000
World,388962.216795974,804987.607893866,17.5831145524195,0.034,0.045,28/09/2023 10:16:55 p.m.,638315362150000000
World,388962.578844722,804987.015320587,17.5837791686756,0.027,0.039,28/09/2023 10:16:56 p.m.,638315362160000000
World,388963.07918814,804986.597803263,17.606826080198,0.028,0.039,28/09/2023 10:16:57 p.m.,638315362170000000
World,388963.735890481,804986.347633904,17.6745964808513,0.027,0.037,28/09/2023 10:16:58 p.m.,638315362180000000
World,388964.373080674,804985.983352907,17.6674865290612,0.026,0.038,28/09/2023 10:16:59 p.m.,638315362190000000
World,388965.103290533,804985.667111934,17.6760672042407,0.042,0.062,28/09/2023 10:17:00 p.m.,638315362200000000
World,388965.872367987,804985.416208,17.6199267293948,0.051,0.073,28/09/2023 10:17:01 p.m.,638315362210000000
World,388966.573859299,804985.259630945,17.6551608391414,0.038,0.054,28/09/2023 10:17:02 p.m.,638315362220000000
World,388967.265866199,804985.070042194,17.6665663424267,0.04,0.055,28/09/2023 10:17:03 p.m.,638315362230000000
World,388967.879036091,804985.330762789,17.5724293408784,0.045,0.066,28/09/2023 10:17:04 p.m.,638315362240000000
World,388968.476422888,804985.925564266,17.5768047610145,0.044,0.067,28/09/2023 10:17:05 p.m.,638315362250000000
World,388968.938528815,804986.851545434,17.6736535491347,0.03,0.049,28/09/2023 10:17:06 p.m.,638315362260000000
World,388969.223444624,804987.63014893,17.6626372670527,0.031,0.05,28/09/2023 10:17:07 p.m.,638315362270000000
World,388969.251981302,804988.239752705,17.6736992606677,0.033,0.045,28/09/2023 10:17:08 p.m.,638315362280000000
