id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
15,World,388966.225046702,804986.72401653,17.4394408950186,0.019,0.022,16/10/2023 2:11:03 a.m.,638330190630000000
61,World,388935.052039886,804995.093453723,17.6987461312852,0.008,0.01,16/10/2023 2:11:49 a.m.,638330191090000000
97,World,388915.064938627,804996.139040784,17.8374532637182,0.009,0.011,16/10/2023 2:12:25 a.m.,638330191450000000
164,World,388856.093344092,805002.315132731,18.1202509353851,0.008,0.011,16/10/2023 2:13:32 a.m.,638330192120000000
1001,World,388871.392867687,805052.296647522,19.0211837563978,0.027,0.041,16/10/2023 2:14:33 a.m.,638330192730000000
1014,World,388872.024359688,805053.226598155,19.1132081126418,0.082,0.138,16/10/2023 2:14:46 a.m.,638330192860000000
1080,World,388932.412487418,805058.11312774,17.6684540390892,0.01,0.014,16/10/2023 2:15:52 a.m.,638330193520000000
1105,World,388937.057404152,805075.577956886,17.1836575537668,0.039,0.061,16/10/2023 2:16:17 a.m.,638330193770000000
1133,World,388955.63145206,805082.157014578,17.9825296464481,0.088,0.141,16/10/2023 2:16:45 a.m.,638330194050000000
1541,World,388954.280879577,805116.861506647,17.4379769308086,0.016,0.021,16/10/2023 2:17:31 a.m.,638330194510000000
1594,World,388966.052292993,805075.885835843,17.5237360171572,0.137,0.145,16/10/2023 2:18:24 a.m.,638330195040000000
1935,Device,388973.400727451,805071.194681769,17.4035781162118,0.142105178503931,0.0934855165197859,16/10/2023 2:18:40 a.m.,638330195209918760
2294,Device,388981.015137684,805066.862295992,17.3452096733702,0.142105178503931,0.0934855165197859,16/10/2023 2:18:53 a.m.,638330195330181340
3385,World,388987.673699515,805026.164407361,17.2094712668896,0.016,0.021,16/10/2023 2:19:40 a.m.,638330195800000000
