peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.225046702,804986.72401653,17.4394408950186,0.019,0.022,388966.156564636,804984.054040091,16.9264777022626,0.0,0.0,388966.225046702,804986.72401653,17.4394408950186,0.019,0.022
2,388935.052039886,804995.093453723,17.6987461312852,0.008,0.01,388935.172242259,804994.975199226,17.6808854720152,0.182068767299519,0.0713426384221378,388935.052039886,804995.093453723,17.6987461312852,0.008,0.01
3,388915.064938627,804996.139040784,17.8374532637182,0.009,0.011,388915.032513626,804996.088084215,17.8216268037305,0.0736360018131647,0.0341501844385953,388915.064938627,804996.139040784,17.8374532637182,0.009,0.011
4,388856.093344092,805002.315132731,18.1202509353851,0.008,0.011,388856.1867348,805002.34618427,18.1181257567219,0.0696442592290742,0.0424130371118941,388856.093344092,805002.315132731,18.1202509353851,0.008,0.011
5,388871.392867687,805052.296647522,19.0211837563978,0.027,0.041,388871.376996114,805052.508474687,19.0381986054449,0.109241201103255,0.0766789806146571,388871.392867687,805052.296647522,19.0211837563978,0.027,0.041
6,388872.024359688,805053.226598155,19.1132081126418,0.082,0.138,388872.039627106,805053.372873437,18.9922130644732,0.149357336715434,0.09484173041316,388872.024359688,805053.226598155,19.1132081126418,0.082,0.138
7,388932.412487418,805058.11312774,17.6684540390892,0.01,0.014,388932.365555774,805058.186597516,17.679828024729,0.127553867383323,0.0908174545773466,388932.412487418,805058.11312774,17.6684540390892,0.01,0.014
8,388937.057404152,805075.577956886,17.1836575537668,0.039,0.061,388937.446114374,805075.879877878,17.5642772645588,0.094770674241924,0.0527674342859858,388937.057404152,805075.577956886,17.1836575537668,0.039,0.061
9,388955.63145206,805082.157014578,17.9825296464481,0.088,0.141,388955.81318068,805082.471514107,17.4128610516883,0.146113641686924,0.113391938158736,388955.63145206,805082.157014578,17.9825296464481,0.088,0.141
10,388954.280879577,805116.861506647,17.4379769308086,0.016,0.021,388968.794126926,805113.607283507,18.6635397313563,6.88686946415475,0.622097441545258,388954.280879577,805116.861506647,17.4379769308086,0.016,0.021
11,388966.052292993,805075.885835843,17.5237360171572,0.137,0.145,388965.962887919,805075.474647219,17.4177153402522,0.1816099480116,0.0925150783215135,388966.052292993,805075.885835843,17.5237360171572,0.137,0.145
12,388973.400727451,805071.194681769,17.4035781162118,0.142105178503931,0.0934855165197859,388973.400727451,805071.194681769,17.4035781162118,0.142105178503931,0.0934855165197859,388973.191782709,805071.850087349,17.7281995084112,0.229,0.243
13,388981.015137684,805066.862295992,17.3452096733702,0.142105178503931,0.0934855165197859,388981.015137684,805066.862295992,17.3452096733702,0.142105178503931,0.0934855165197859,388980.259284761,805067.675408548,17.6333425048859,0.443,0.47
14,388987.673699515,805026.164407361,17.2094712668896,0.016,0.021,388987.906297209,805025.649757491,17.1559336153966,0.142105178503931,0.0934855165197859,388987.673699515,805026.164407361,17.2094712668896,0.016,0.021
