type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388981.308471229,804998.473138542,17.180179540765,0.013,0.013,16/10/2023 1:14:07 a.m.,638330156470000000
World,388981.302364891,804998.468483613,17.1710832053306,0.011,0.012,16/10/2023 1:14:08 a.m.,638330156480000000
World,388981.312775021,804998.456255508,17.1677800970962,0.013,0.013,16/10/2023 1:14:09 a.m.,638330156490000000
World,388981.312791373,804998.484788488,17.1616566527489,0.013,0.014,16/10/2023 1:14:10 a.m.,638330156500000000
World,388981.308905014,804998.504466231,17.1576904070982,0.013,0.013,16/10/2023 1:14:11 a.m.,638330156510000000
World,388981.306448496,804998.490416299,17.1575731082293,0.012,0.012,16/10/2023 1:14:12 a.m.,638330156520000000
World,388981.291267474,804998.533471105,17.1606579272319,0.012,0.013,16/10/2023 1:14:13 a.m.,638330156530000000
World,388981.282256973,804998.497581846,17.1734274490416,0.014,0.015,16/10/2023 1:14:14 a.m.,638330156540000000
World,388981.295390008,804998.497767552,17.1692455877775,0.012,0.013,16/10/2023 1:14:15 a.m.,638330156550000000
World,388981.300720765,804998.50110092,17.1702758305037,0.012,0.012,16/10/2023 1:14:16 a.m.,638330156560000000
World,388981.303094828,804998.474598093,17.1709831404458,0.012,0.013,16/10/2023 1:14:17 a.m.,638330156570000000
World,388981.298487233,804998.470391398,17.1645330899271,0.011,0.012,16/10/2023 1:14:18 a.m.,638330156580000000
World,388981.299591701,804998.472368878,17.1637086414804,0.012,0.012,16/10/2023 1:14:19 a.m.,638330156590000000
World,388981.292906848,804998.49291262,17.1709641714124,0.011,0.012,16/10/2023 1:14:20 a.m.,638330156600000000
World,388981.344488611,804998.505901297,17.1701704195878,0.011,0.012,16/10/2023 1:14:21 a.m.,638330156610000000
World,388981.351628443,804998.51080563,17.1664636368332,0.011,0.012,16/10/2023 1:14:22 a.m.,638330156620000000
World,388981.327019352,804998.512827771,17.1687787767654,0.011,0.013,16/10/2023 1:14:23 a.m.,638330156630000000
World,388981.319019335,804998.483353078,17.1627484719092,0.011,0.012,16/10/2023 1:14:24 a.m.,638330156640000000
World,388981.330383322,804998.458919455,17.1616981481185,0.011,0.012,16/10/2023 1:14:25 a.m.,638330156650000000
World,388981.324319005,804998.467141294,17.1613593645168,0.011,0.012,16/10/2023 1:14:26 a.m.,638330156660000000
World,388981.315431708,804998.462961374,17.1651055609045,0.012,0.013,16/10/2023 1:14:27 a.m.,638330156670000000
World,388981.315187026,804998.480108858,17.1679058491395,0.013,0.014,16/10/2023 1:14:28 a.m.,638330156680000000
World,388981.316680424,804998.472699484,17.1660591151746,0.012,0.013,16/10/2023 1:14:29 a.m.,638330156690000000
World,388981.307289043,804998.477084999,17.156464381685,0.011,0.012,16/10/2023 1:14:30 a.m.,638330156700000000
World,388981.289195144,804998.47741453,17.1674384592847,0.012,0.013,16/10/2023 1:14:31 a.m.,638330156710000000
World,388981.294640478,804998.479212904,17.1700468931233,0.011,0.012,16/10/2023 1:14:32 a.m.,638330156720000000
World,388981.28461168,804998.473133741,17.1677325853892,0.011,0.013,16/10/2023 1:14:33 a.m.,638330156730000000
World,388981.285282984,804998.473781375,17.1678321884266,0.011,0.012,16/10/2023 1:14:34 a.m.,638330156740000000
World,388981.26961179,804998.487362604,17.1664715973736,0.011,0.012,16/10/2023 1:14:35 a.m.,638330156750000000
World,388981.251438059,804998.479704415,17.1626552058321,0.011,0.012,16/10/2023 1:14:36 a.m.,638330156760000000
World,388981.225396808,804998.509007442,17.167112146068,0.011,0.012,16/10/2023 1:14:37 a.m.,638330156770000000
World,388981.235718229,804998.480370841,17.1610610582601,0.013,0.014,16/10/2023 1:14:38 a.m.,638330156780000000
World,388981.209971313,804998.479606204,17.1656716732187,0.012,0.012,16/10/2023 1:14:39 a.m.,638330156790000000
World,388981.192881156,804998.498863474,17.1739141119609,0.011,0.011,16/10/2023 1:14:40 a.m.,638330156800000000
World,388981.21179374,804998.477641411,17.1836324280733,0.011,0.011,16/10/2023 1:14:41 a.m.,638330156810000000
World,388981.251853371,804998.458025832,17.181940688572,0.011,0.011,16/10/2023 1:14:42 a.m.,638330156820000000
World,388981.263585045,804998.448001368,17.1863244015874,0.012,0.012,16/10/2023 1:14:43 a.m.,638330156830000000
World,388981.270431807,804998.465393903,17.1742743959647,0.011,0.011,16/10/2023 1:14:44 a.m.,638330156840000000
World,388981.278933921,804998.47477778,17.1712139280757,0.012,0.012,16/10/2023 1:14:45 a.m.,638330156850000000
World,388981.285193556,804998.47164591,17.1785042158595,0.011,0.011,16/10/2023 1:14:46 a.m.,638330156860000000
World,388981.300381999,804998.467719074,17.1753626379469,0.012,0.012,16/10/2023 1:14:47 a.m.,638330156870000000
World,388981.281882829,804998.483062132,17.1765863054105,0.011,0.011,16/10/2023 1:14:48 a.m.,638330156880000000
World,388981.284422067,804998.48572267,17.1743007386636,0.012,0.012,16/10/2023 1:14:49 a.m.,638330156890000000
World,388981.28186315,804998.477437876,17.1773460708125,0.011,0.012,16/10/2023 1:14:50 a.m.,638330156900000000
World,388981.283788169,804998.469860642,17.1748865358082,0.012,0.012,16/10/2023 1:14:51 a.m.,638330156910000000
World,388981.283696481,804998.467742945,17.1780293053285,0.01,0.011,16/10/2023 1:14:52 a.m.,638330156920000000
World,388981.285248509,804998.468240407,17.1747760366977,0.012,0.012,16/10/2023 1:14:53 a.m.,638330156930000000
World,388981.291147648,804998.467733679,17.1736521199099,0.01,0.011,16/10/2023 1:14:54 a.m.,638330156940000000
World,388981.280278135,804998.472114268,17.1772636392957,0.012,0.012,16/10/2023 1:14:55 a.m.,638330156950000000
World,388981.275716073,804998.481626357,17.1766830590389,0.013,0.013,16/10/2023 1:14:56 a.m.,638330156960000000
World,388981.268460184,804998.474823381,17.1766506426977,0.01,0.011,16/10/2023 1:14:57 a.m.,638330156970000000
World,388981.256526522,804998.484095747,17.1751048124975,0.01,0.011,16/10/2023 1:14:58 a.m.,638330156980000000
World,388981.263689891,804998.4892884,17.1777977431417,0.011,0.012,16/10/2023 1:14:59 a.m.,638330156990000000
World,388981.263658492,804998.491622801,17.1817053551739,0.01,0.011,16/10/2023 1:15:00 a.m.,638330157000000000
World,388981.250443711,804998.494647846,17.1788144103521,0.012,0.012,16/10/2023 1:15:01 a.m.,638330157010000000
World,388981.258079733,804998.485227795,17.1787607545673,0.011,0.012,16/10/2023 1:15:02 a.m.,638330157020000000
World,388981.264571739,804998.47814946,17.1836403975187,0.012,0.012,16/10/2023 1:15:03 a.m.,638330157030000000
World,388981.26850466,804998.473195237,17.1829209931322,0.011,0.012,16/10/2023 1:15:04 a.m.,638330157040000000
World,388981.274905952,804998.459341099,17.1728337198851,0.012,0.012,16/10/2023 1:15:05 a.m.,638330157050000000
World,388981.252346745,804998.462520831,17.1754923040037,0.011,0.012,16/10/2023 1:15:06 a.m.,638330157060000000
World,388981.283057548,804998.44330182,17.1780078967579,0.012,0.012,16/10/2023 1:15:07 a.m.,638330157070000000
World,388981.257504708,804998.479567609,17.1768709422965,0.011,0.012,16/10/2023 1:15:08 a.m.,638330157080000000
World,388981.258594626,804998.479845159,17.1625006575856,0.012,0.012,16/10/2023 1:15:09 a.m.,638330157090000000
World,388981.264045367,804998.485125223,17.1683367139625,0.011,0.012,16/10/2023 1:15:10 a.m.,638330157100000000
World,388981.24542794,804998.488250966,17.1668674209427,0.012,0.012,16/10/2023 1:15:11 a.m.,638330157110000000
World,388981.299669589,804998.434671516,17.1729635442793,0.011,0.012,16/10/2023 1:15:12 a.m.,638330157120000000
World,388981.303954279,804998.447599738,17.164639903155,0.012,0.013,16/10/2023 1:15:13 a.m.,638330157130000000
World,388981.283159668,804998.462657907,17.1588907832743,0.013,0.014,16/10/2023 1:15:14 a.m.,638330157140000000
World,388981.289041844,804998.464898588,17.168931141981,0.012,0.012,16/10/2023 1:15:15 a.m.,638330157150000000
World,388981.270058507,804998.445208011,17.1666818150984,0.011,0.012,16/10/2023 1:15:16 a.m.,638330157160000000
World,388981.284042586,804998.409108198,17.1722227935687,0.012,0.012,16/10/2023 1:15:17 a.m.,638330157170000000
World,388981.241692989,804998.411545403,17.1699249076973,0.012,0.012,16/10/2023 1:15:18 a.m.,638330157180000000
World,388981.20516788,804998.450854446,17.1789760251897,0.012,0.013,16/10/2023 1:15:19 a.m.,638330157190000000
World,388981.187275536,804998.464128212,17.1981977558926,0.013,0.014,16/10/2023 1:15:20 a.m.,638330157200000000
World,388980.82157313,804998.635668963,17.2970058320473,0.012,0.013,16/10/2023 1:15:21 a.m.,638330157210000000
World,388980.854689018,804998.592728927,17.2626578403528,0.011,0.012,16/10/2023 1:15:22 a.m.,638330157220000000
World,388980.617878816,804999.209124186,17.3019360508166,0.012,0.013,16/10/2023 1:15:23 a.m.,638330157230000000
World,388980.512752733,805000.207073501,17.3650238322644,0.012,0.012,16/10/2023 1:15:24 a.m.,638330157240000000
World,388980.319007618,805001.355193997,17.3929168819294,0.013,0.014,16/10/2023 1:15:25 a.m.,638330157250000000
World,388980.367388976,805002.501015762,17.3763147880898,0.011,0.013,16/10/2023 1:15:26 a.m.,638330157260000000
World,388980.410394857,805003.573158558,17.3810533154207,0.013,0.014,16/10/2023 1:15:27 a.m.,638330157270000000
World,388980.254452924,805004.702004074,17.410810820934,0.013,0.014,16/10/2023 1:15:28 a.m.,638330157280000000
World,388979.984094252,805005.890027973,17.3887926459664,0.015,0.016,16/10/2023 1:15:29 a.m.,638330157290000000
World,388979.730240573,805007.009954185,17.4406886061732,0.013,0.015,16/10/2023 1:15:30 a.m.,638330157300000000
World,388979.476907546,805007.579242408,17.4374020849894,0.015,0.018,16/10/2023 1:15:31 a.m.,638330157310000000
World,388979.435057576,805008.246368092,17.4588837818236,0.015,0.019,16/10/2023 1:15:32 a.m.,638330157320000000
World,388979.322219022,805009.290602601,17.4515128126202,0.015,0.02,16/10/2023 1:15:33 a.m.,638330157330000000
World,388979.308523842,805010.352255041,17.3843492232986,0.016,0.021,16/10/2023 1:15:34 a.m.,638330157340000000
World,388979.320309092,805011.414739516,17.4177372331174,0.015,0.02,16/10/2023 1:15:35 a.m.,638330157350000000
World,388979.347700057,805012.443104152,17.4099752942891,0.013,0.018,16/10/2023 1:15:36 a.m.,638330157360000000
World,388979.390448887,805013.425516637,17.3876610996703,0.014,0.019,16/10/2023 1:15:37 a.m.,638330157370000000
World,388979.377599291,805014.412998097,17.3922587876694,0.015,0.018,16/10/2023 1:15:38 a.m.,638330157380000000
World,388979.247106444,805015.512174909,17.4875767478008,0.015,0.02,16/10/2023 1:15:39 a.m.,638330157390000000
World,388979.128669301,805016.556139593,17.5066409122228,0.016,0.022,16/10/2023 1:15:40 a.m.,638330157400000000
World,388979.150109721,805017.555621712,17.4830178734289,0.017,0.021,16/10/2023 1:15:41 a.m.,638330157410000000
World,388979.205870343,805018.547613338,17.4560998206695,0.015,0.019,16/10/2023 1:15:42 a.m.,638330157420000000
World,388979.288410901,805019.472570689,17.4763275259164,0.016,0.02,16/10/2023 1:15:43 a.m.,638330157430000000
