type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388978.805351606,804999.232471858,20.6483990512873,2.574,4.854,16/10/2023 1:13:17 a.m.,638330155970000000
World,388981.592692654,804999.683319753,16.959156672971,2.048,3.555,16/10/2023 1:13:18 a.m.,638330155980000000
World,388981.732226698,804999.688190465,16.4655861515598,1.67,2.898,16/10/2023 1:13:19 a.m.,638330155990000000
World,388980.878652646,804999.411410213,17.774714955005,1.983,3.245,16/10/2023 1:13:20 a.m.,638330156000000000
World,388980.61391631,804999.289947977,18.0050374562549,1.82,2.975,16/10/2023 1:13:21 a.m.,638330156010000000
World,388980.576503828,804999.20955034,18.0404116215739,1.958,3.173,16/10/2023 1:13:22 a.m.,638330156020000000
World,388980.583040524,804999.140520054,18.0297536275659,1.996,3.238,16/10/2023 1:13:23 a.m.,638330156030000000
World,388980.660758873,804999.086136221,18.0043357058812,2.09,3.392,16/10/2023 1:13:24 a.m.,638330156040000000
World,388980.676904428,804999.020571902,17.9736478027218,2.012,3.264,16/10/2023 1:13:25 a.m.,638330156050000000
World,388980.666636965,804998.969403035,17.9755692831589,1.613,2.617,16/10/2023 1:13:26 a.m.,638330156060000000
World,388980.684564453,804998.921412836,17.9591586343642,1.697,2.753,16/10/2023 1:13:27 a.m.,638330156070000000
World,388980.684497585,804998.894665256,17.9951750350141,1.498,2.457,16/10/2023 1:13:28 a.m.,638330156080000000
World,388980.695679912,804998.83484641,18.0059577560337,1.47,2.41,16/10/2023 1:13:29 a.m.,638330156090000000
World,388980.692888026,804998.767152291,18.028800383025,1.659,2.69,16/10/2023 1:13:30 a.m.,638330156100000000
World,388980.714086775,804998.69791045,18.053021434021,1.836,2.977,16/10/2023 1:13:31 a.m.,638330156110000000
World,388980.732364235,804998.650729547,18.0438483602433,1.662,2.695,16/10/2023 1:13:32 a.m.,638330156120000000
World,388980.739464869,804998.621776597,18.0563398308564,1.313,2.151,16/10/2023 1:13:33 a.m.,638330156130000000
World,388980.765858031,804998.60864526,18.0244798415702,1.405,2.302,16/10/2023 1:13:34 a.m.,638330156140000000
World,388980.776837262,804998.537644962,17.9740018608805,1.466,2.402,16/10/2023 1:13:35 a.m.,638330156150000000
World,388980.768086265,804998.540923192,17.9636765061382,1.127,1.846,16/10/2023 1:13:36 a.m.,638330156160000000
World,388980.788665806,804998.511126225,17.9755470190248,0.999,1.638,16/10/2023 1:13:37 a.m.,638330156170000000
World,388980.758180382,804998.504637219,17.9587570285135,0.971,1.592,16/10/2023 1:13:38 a.m.,638330156180000000
World,388980.755672793,804998.482138632,17.9520734165212,0.945,1.549,16/10/2023 1:13:39 a.m.,638330156190000000
World,388980.773561964,804998.486523489,17.9473660825279,0.919,1.506,16/10/2023 1:13:40 a.m.,638330156200000000
World,388980.790832757,804998.464768233,17.9423013002169,0.904,1.465,16/10/2023 1:13:41 a.m.,638330156210000000
World,388980.793340851,804998.474219301,17.9279999678106,0.89,1.427,16/10/2023 1:13:42 a.m.,638330156220000000
World,388980.792655372,804998.466495482,17.9033275194015,0.868,1.392,16/10/2023 1:13:43 a.m.,638330156230000000
World,388980.775487527,804998.472660954,17.8930061593924,0.848,1.348,16/10/2023 1:13:44 a.m.,638330156240000000
World,388980.781248362,804998.463209453,17.8923420407747,0.83,1.319,16/10/2023 1:13:45 a.m.,638330156250000000
World,388980.779025644,804998.451663195,17.8870202152978,0.821,1.292,16/10/2023 1:13:46 a.m.,638330156260000000
World,388981.272274566,804998.499257646,17.1836266242379,0.114,0.093,16/10/2023 1:13:47 a.m.,638330156270000000
World,388981.281585605,804998.513231164,17.1549114780277,0.115,0.094,16/10/2023 1:13:48 a.m.,638330156280000000
World,388981.289442044,804998.507968277,17.1554572320453,0.114,0.095,16/10/2023 1:13:49 a.m.,638330156290000000
World,388981.290191054,804998.502989609,17.1627010038806,0.084,0.07,16/10/2023 1:13:50 a.m.,638330156300000000
World,388981.293660538,804998.498891636,17.1637541775993,0.084,0.07,16/10/2023 1:13:51 a.m.,638330156310000000
World,388981.283225755,804998.50094097,17.1548967007401,0.016,0.024,16/10/2023 1:13:52 a.m.,638330156320000000
World,388981.290300703,804998.497682988,17.1613271368863,0.017,0.025,16/10/2023 1:13:53 a.m.,638330156330000000
World,388981.29758645,804998.500653852,17.1577631935026,0.017,0.024,16/10/2023 1:13:54 a.m.,638330156340000000
World,388981.294451654,804998.497255015,17.167256417128,0.013,0.015,16/10/2023 1:13:55 a.m.,638330156350000000
World,388981.29572403,804998.498529619,17.1720788995658,0.011,0.014,16/10/2023 1:13:56 a.m.,638330156360000000
World,388981.302345012,804998.499306295,17.1709976246911,0.013,0.015,16/10/2023 1:13:57 a.m.,638330156370000000
World,388981.299465133,804998.501806177,17.1691329969939,0.011,0.014,16/10/2023 1:13:58 a.m.,638330156380000000
World,388981.298917447,804998.506314756,17.1698131506353,0.012,0.015,16/10/2023 1:13:59 a.m.,638330156390000000
World,388981.276740102,804998.504960618,17.1636367169603,0.011,0.014,16/10/2023 1:14:00 a.m.,638330156400000000
World,388981.296304363,804998.503944579,17.1721140366998,0.012,0.015,16/10/2023 1:14:01 a.m.,638330156410000000
World,388981.273390905,804998.492925114,17.1660758001485,0.013,0.016,16/10/2023 1:14:02 a.m.,638330156420000000
