id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
40,World,388966.219952659,804986.735242707,17.3983562688792,0.008,0.015,28/09/2023 10:28:52 p.m.,638315369320000000
75,World,388935.048992242,804995.083467344,17.6681446291336,0.007,0.012,28/09/2023 10:29:27 p.m.,638315369670000000
98,World,388915.11005388,804996.111185313,17.8156921355539,0.009,0.016,28/09/2023 10:29:50 p.m.,638315369900000000
161,World,388856.086062156,805002.35965012,18.0890843242822,0.007,0.012,28/09/2023 10:30:53 p.m.,638315370530000000
846,Device,388871.561027922,805052.431168217,19.0552241021441,0.220427748761688,0.153266148465389,28/09/2023 10:31:44 p.m.,638315371049980560
1404,World,388871.996014319,805053.259824301,18.9771549051994,0.022,0.036,28/09/2023 10:32:04 p.m.,638315371240000000
1469,World,388932.410262076,805058.119492468,17.6067176929796,0.009,0.013,28/09/2023 10:33:09 p.m.,638315371890000000
1531,World,388937.185843218,805075.50172735,17.6631685908825,0.054,0.094,28/09/2023 10:33:42 p.m.,638315372220000000
1584,World,388955.624112965,805082.294833801,17.3726728788795,0.088,0.118,28/09/2023 10:34:07 p.m.,638315372470000000
2136,World,388954.268670484,805116.818141733,17.466477389029,0.027,0.042,28/09/2023 10:34:45 p.m.,638315372850000000
2183,World,388965.950670975,805075.837817152,17.5247055040014,0.118,0.152,28/09/2023 10:35:32 p.m.,638315373320000000
2398,Device,388973.326614576,805071.434349212,17.4947854088299,0.205814581586676,0.193878062040805,28/09/2023 10:36:00 p.m.,638315373600005090
2960,Device,388980.784594126,805067.037794576,19.7339230486383,0.175135398712926,0.190932044974375,28/09/2023 10:36:19 p.m.,638315373790006980
3432,World,388987.670542506,805026.162167696,17.1790367280496,0.012,0.013,28/09/2023 10:37:10 p.m.,638315374300000000
3445,World,388986.869674717,805016.441035566,17.1593182653061,0.017,0.029,28/09/2023 10:37:23 p.m.,638315374430000000
