id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
47,World,388935.040432055,804995.091924731,17.6806863012257,0.008,0.013,28/09/2023 10:29:30 p.m.,638315369700000000
48,World,388935.03630843,804995.088962162,17.6771410758825,0.007,0.012,28/09/2023 10:29:31 p.m.,638315369710000000
49,World,388935.040362861,804995.088532894,17.6734890604393,0.008,0.013,28/09/2023 10:29:32 p.m.,638315369720000000
50,World,388934.995268928,804995.086497999,17.6794097137743,0.008,0.014,28/09/2023 10:29:33 p.m.,638315369730000000
51,World,388934.119643632,804994.930362685,17.8224941674255,0.008,0.013,28/09/2023 10:29:34 p.m.,638315369740000000
52,World,388932.633884081,804994.790378231,17.8325252340687,0.009,0.015,28/09/2023 10:29:35 p.m.,638315369750000000
53,World,388931.028245994,804994.789407013,17.8466257649999,0.008,0.014,28/09/2023 10:29:36 p.m.,638315369760000000
54,World,388929.371130512,804994.806912849,17.8439675625974,0.008,0.013,28/09/2023 10:29:37 p.m.,638315369770000000
55,World,388927.804994366,804994.844695775,17.8655336931598,0.008,0.014,28/09/2023 10:29:38 p.m.,638315369780000000
56,World,388926.177441409,804994.954345894,17.8359549448211,0.009,0.015,28/09/2023 10:29:39 p.m.,638315369790000000
57,World,388924.583723958,804995.095771094,17.8522315825435,0.009,0.016,28/09/2023 10:29:40 p.m.,638315369800000000
58,World,388923.019200671,804995.24611145,17.8768215209458,0.009,0.015,28/09/2023 10:29:41 p.m.,638315369810000000
59,World,388921.522122155,804995.328033843,17.8613909372649,0.009,0.016,28/09/2023 10:29:42 p.m.,638315369820000000
60,World,388920.04798292,804995.457315334,17.899666514461,0.009,0.016,28/09/2023 10:29:43 p.m.,638315369830000000
61,World,388918.563862685,804995.593237153,17.9082224600256,0.009,0.016,28/09/2023 10:29:44 p.m.,638315369840000000
62,World,388917.137039815,804995.7606445,17.9336932742559,0.008,0.015,28/09/2023 10:29:45 p.m.,638315369850000000
63,World,388915.935248661,804995.989458359,17.8963709448782,0.009,0.016,28/09/2023 10:29:46 p.m.,638315369860000000
64,World,388915.257450438,804996.069783135,17.8135356779239,0.01,0.017,28/09/2023 10:29:47 p.m.,638315369870000000
65,World,388915.129948764,804996.105938574,17.8112987036456,0.009,0.017,28/09/2023 10:29:48 p.m.,638315369880000000
66,World,388915.119359577,804996.109107112,17.8072479452306,0.01,0.017,28/09/2023 10:29:49 p.m.,638315369890000000
67,World,388915.11005388,804996.111185313,17.8156921355539,0.009,0.016,28/09/2023 10:29:50 p.m.,638315369900000000
68,World,388915.106175793,804996.091575959,17.802470643938,0.009,0.015,28/09/2023 10:29:51 p.m.,638315369910000000
69,World,388915.105202616,804996.081940508,17.8022052447914,0.01,0.016,28/09/2023 10:29:52 p.m.,638315369920000000
