type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,806333.92250645,388791.033727938,14.6528486569658,0.023,0.029,15/10/2023 10:37:09 p.m.,638330062290000000
World,806333.925420956,388791.046175105,14.6634440860877,0.021,0.027,15/10/2023 10:37:10 p.m.,638330062300000000
World,806333.924214981,388791.049006114,14.6614438624394,0.023,0.029,15/10/2023 10:37:11 p.m.,638330062310000000
World,806333.922208799,388791.029382136,14.6551563107992,0.023,0.029,15/10/2023 10:37:12 p.m.,638330062320000000
World,806333.922658364,388791.027364233,14.6525841581725,0.019,0.025,15/10/2023 10:37:13 p.m.,638330062330000000
World,806333.918906907,388791.029126409,14.6512458273545,0.021,0.027,15/10/2023 10:37:14 p.m.,638330062340000000
World,806334.049188985,388791.019005173,14.6352211707249,0.023,0.029,15/10/2023 10:37:15 p.m.,638330062350000000
World,806334.58397398,388791.141457993,14.671741320837,0.022,0.028,15/10/2023 10:37:16 p.m.,638330062360000000
World,806335.134863484,388791.162651485,14.653378065239,0.023,0.03,15/10/2023 10:37:17 p.m.,638330062370000000
World,806335.939843413,388791.186231686,14.621229020435,0.024,0.03,15/10/2023 10:37:18 p.m.,638330062380000000
World,806336.845601717,388791.135267818,14.6562296245254,0.023,0.03,15/10/2023 10:37:19 p.m.,638330062390000000
World,806337.749426809,388791.09133893,14.6756810680384,0.023,0.031,15/10/2023 10:37:20 p.m.,638330062400000000
World,806338.513144965,388790.947579054,14.6866355214971,0.025,0.035,15/10/2023 10:37:21 p.m.,638330062410000000
World,806339.177776921,388790.787279173,14.64878705096,0.027,0.038,15/10/2023 10:37:22 p.m.,638330062420000000
World,806339.617541744,388790.461501505,14.6215053500182,0.025,0.038,15/10/2023 10:37:23 p.m.,638330062430000000
World,806339.661538706,388790.420357274,14.6199752323393,0.023,0.037,15/10/2023 10:37:24 p.m.,638330062440000000
World,806339.234140261,388790.438178134,14.6236454926572,0.025,0.04,15/10/2023 10:37:25 p.m.,638330062450000000
World,806338.83400027,388790.360824233,14.6030356823236,0.027,0.042,15/10/2023 10:37:26 p.m.,638330062460000000
World,806338.281856834,388790.185184603,14.6056858506314,0.025,0.038,15/10/2023 10:37:27 p.m.,638330062470000000
World,806337.465519384,388790.080522925,14.6332816797427,0.02,0.028,15/10/2023 10:37:28 p.m.,638330062480000000
World,806336.651368343,388789.518896586,14.630877704654,0.023,0.032,15/10/2023 10:37:29 p.m.,638330062490000000
World,806336.04513125,388788.764291176,14.600400993238,0.022,0.035,15/10/2023 10:37:30 p.m.,638330062500000000
World,806335.451848233,388787.900560184,14.6355813869754,0.024,0.038,15/10/2023 10:37:31 p.m.,638330062510000000
World,806334.858829582,388787.017872102,14.6352128167046,0.027,0.043,15/10/2023 10:37:32 p.m.,638330062520000000
World,806334.525381346,388786.041828356,14.6014418276665,0.027,0.039,15/10/2023 10:37:33 p.m.,638330062530000000
World,806334.583357999,388785.077233045,14.6320702037071,0.03,0.041,15/10/2023 10:37:34 p.m.,638330062540000000
World,806334.583773186,388784.228535312,14.7350439334866,0.04,0.052,15/10/2023 10:37:35 p.m.,638330062550000000
World,806334.551046974,388783.559484636,14.7125151278955,0.033,0.043,15/10/2023 10:37:36 p.m.,638330062560000000
