type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
Device,388966.413219677,804986.738956177,17.4363354796104,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250014944010
Device,388966.410124774,804986.734848618,17.4365492118361,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250015559020
Device,388966.411047384,804986.732781727,17.4365349679844,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250015628200
Device,388966.412313837,804986.731117862,17.4364060475042,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250015900540
Device,388966.413667177,804986.729719427,17.4362240250643,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250016207890
Device,388966.412039209,804986.726638184,17.4361496790545,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250016577730
Device,388966.413021664,804986.725365572,17.4358646278812,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250016900100
Device,388966.413369452,804986.724156121,17.4356060438226,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250017360980
Device,388966.414380404,804986.720932769,17.4386499415243,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250017616670
Device,388966.413224945,804986.720007034,17.438705713936,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250017898370
Device,388966.411662749,804986.719166895,17.4387656620041,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250018200680
Device,388966.409834116,804986.715402503,17.4407386110099,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250018635150
Device,388966.407544629,804986.714048136,17.4409835978799,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250018860400
Device,388966.404842817,804986.712941374,17.4412201303019,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250019191330
Device,388966.403181021,804986.71003836,17.4418332907221,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250019643980
Device,388966.399745083,804986.709847292,17.4421223582021,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:01 a.m.,638330250019975980
Device,388966.395623224,804986.710163774,17.4423943089102,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250020250030
Device,388966.38948173,804986.710999961,17.4426447133655,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250020601730
Device,388966.384399589,804986.711654171,17.442934527994,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250020954140
Device,388966.379566344,804986.712126769,17.4431997072502,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250021255160
Device,388966.37622091,804986.71078905,17.4431913272004,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250021616590
Device,388966.373321558,804986.710737677,17.4433402490201,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250021978840
Device,388966.371022247,804986.710561053,17.4434630828321,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250022352410
Device,388966.366220386,804986.712544032,17.4427050613434,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250022617820
Device,388966.364388427,804986.712581564,17.4428363514015,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250022908330
Device,388966.362565655,804986.712615785,17.4429674757527,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250023289980
Device,388966.359921765,804986.713833437,17.4426926464354,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250023546190
Device,388966.358583365,804986.713763423,17.4427865781464,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250023893130
Device,388966.357433129,804986.713184723,17.4431135578836,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250024251400
Device,388966.356509986,804986.712722163,17.4432751269388,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250024498700
Device,388966.355695183,804986.711983116,17.4434656051802,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250024853070
Device,388966.355869731,804986.71115249,17.4436960798962,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250025167010
Device,388966.355147044,804986.710074962,17.4439208832323,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250025502820
Device,388966.35438112,804986.708832462,17.4441639209245,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250025989500
Device,388966.353411878,804986.707533217,17.4444233169642,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250026228180
Device,388966.348813037,804986.702315919,17.4414393128623,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250026641860
Device,388966.347229104,804986.700940479,17.4414172837554,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250026973370
Device,388966.345488916,804986.69968978,17.4413710954205,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250027325880
Device,388966.343448728,804986.699148408,17.4405442992947,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250027608910
Device,388966.341446525,804986.698004035,17.4403620590009,0.0670725669922193,0.0327554800320909,16/10/2023 3:50:02 a.m.,638330250028012090
