type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388932.139664604,805056.3903406,17.7998078214012,0.012,0.016,16/10/2023 12:32:37 a.m.,638330131570000000
World,388931.696620603,805056.001234839,17.7883312658288,0.011,0.014,16/10/2023 12:32:38 a.m.,638330131580000000
World,388931.42928282,805056.257563513,17.7947386411071,0.01,0.013,16/10/2023 12:32:39 a.m.,638330131590000000
World,388931.740301292,805056.937536788,17.8167931181116,0.01,0.014,16/10/2023 12:32:40 a.m.,638330131600000000
World,388932.118705993,805057.632454173,17.7792640656852,0.009,0.012,16/10/2023 12:32:41 a.m.,638330131610000000
World,388932.397997622,805058.027616006,17.6705317785637,0.01,0.013,16/10/2023 12:32:42 a.m.,638330131620000000
World,388932.402219908,805058.099259737,17.6228117139512,0.009,0.012,16/10/2023 12:32:43 a.m.,638330131630000000
World,388932.408113159,805058.099360637,17.6231979625187,0.01,0.013,16/10/2023 12:32:44 a.m.,638330131640000000
World,388932.397670691,805058.074905708,17.621872405695,0.012,0.015,16/10/2023 12:32:45 a.m.,638330131650000000
World,388932.394129699,805058.104458892,17.6262637267915,0.01,0.014,16/10/2023 12:32:46 a.m.,638330131660000000
World,388932.384624451,805058.122927344,17.619438373159,0.009,0.011,16/10/2023 12:32:47 a.m.,638330131670000000
World,388932.383566914,805058.123256042,17.6218181949277,0.009,0.012,16/10/2023 12:32:48 a.m.,638330131680000000
World,388932.387146066,805058.120090785,17.6253039966024,0.008,0.01,16/10/2023 12:32:49 a.m.,638330131690000000
World,388932.386735104,805058.117127785,17.6194293512989,0.009,0.011,16/10/2023 12:32:50 a.m.,638330131700000000
World,388932.390063314,805058.119456389,17.6194059326821,0.008,0.01,16/10/2023 12:32:51 a.m.,638330131710000000
World,388932.398471528,805058.134843144,17.6183067545046,0.009,0.011,16/10/2023 12:32:52 a.m.,638330131720000000
World,388932.82467712,805058.735786069,17.7744530120363,0.009,0.012,16/10/2023 12:32:53 a.m.,638330131730000000
World,388933.299884323,805059.848258434,17.8384465809192,0.009,0.012,16/10/2023 12:32:54 a.m.,638330131740000000
World,388933.781230953,805061.13770431,17.8356238720053,0.009,0.011,16/10/2023 12:32:55 a.m.,638330131750000000
