id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388966.840013227,804988.729652404,17.5055633922494,0.012,0.016,28/09/2023 11:30:12 p.m.,638315406120000000
2,World,388966.550938036,804988.767316684,17.5046115117909,0.013,0.017,28/09/2023 11:30:13 p.m.,638315406130000000
3,World,388965.81544769,804988.915349539,17.4974607545345,0.011,0.015,28/09/2023 11:30:14 p.m.,638315406140000000
4,World,388964.885140726,804989.168063722,17.5090456504169,0.012,0.016,28/09/2023 11:30:15 p.m.,638315406150000000
5,World,388963.980062463,804989.429756375,17.5092765092295,0.01,0.014,28/09/2023 11:30:16 p.m.,638315406160000000
6,World,388963.149033305,804989.685149429,17.5126220216568,0.011,0.015,28/09/2023 11:30:17 p.m.,638315406170000000
7,World,388962.483281217,804989.781956526,17.5357900739581,0.012,0.016,28/09/2023 11:30:18 p.m.,638315406180000000
8,World,388962.288943024,804989.198252764,17.5557477401916,0.013,0.019,28/09/2023 11:30:19 p.m.,638315406190000000
9,World,388962.031181874,804988.322890464,17.5707335437947,0.013,0.019,28/09/2023 11:30:20 p.m.,638315406200000000
10,World,388961.812547203,804987.436239242,17.6273359714858,0.015,0.021,28/09/2023 11:30:21 p.m.,638315406210000000
11,World,388961.982142788,804986.778145387,17.5054027139976,0.014,0.019,28/09/2023 11:30:22 p.m.,638315406220000000
12,World,388962.510995647,804986.287941388,17.5970791595889,0.015,0.021,28/09/2023 11:30:23 p.m.,638315406230000000
13,World,388963.3909096,804985.998550195,17.5664437953734,0.014,0.02,28/09/2023 11:30:24 p.m.,638315406240000000
14,World,388964.188809749,804985.707960825,17.6220714707299,0.015,0.02,28/09/2023 11:30:25 p.m.,638315406250000000
15,World,388964.959220256,804985.546587028,17.5543069472325,0.015,0.02,28/09/2023 11:30:26 p.m.,638315406260000000
16,World,388965.708082984,804985.604223965,17.5841859660604,0.016,0.022,28/09/2023 11:30:27 p.m.,638315406270000000
17,World,388966.442600356,804985.828682206,17.546907445076,0.015,0.02,28/09/2023 11:30:28 p.m.,638315406280000000
18,World,388966.882968643,804986.533859097,17.4961098393806,0.016,0.022,28/09/2023 11:30:29 p.m.,638315406290000000
19,World,388967.071985485,804987.365274493,17.4741975241484,0.014,0.02,28/09/2023 11:30:30 p.m.,638315406300000000
20,World,388967.165728309,804988.345447271,17.4986415418277,0.016,0.023,28/09/2023 11:30:31 p.m.,638315406310000000
21,World,388967.179956254,804988.877132452,17.608174704128,0.015,0.025,28/09/2023 11:30:32 p.m.,638315406320000000
22,World,388967.396643973,804988.266156926,17.5996001302795,0.016,0.026,28/09/2023 11:30:33 p.m.,638315406330000000
23,World,388967.153095507,804987.51731013,17.5756624155005,0.013,0.021,28/09/2023 11:30:34 p.m.,638315406340000000
24,World,388966.624516116,804987.036596951,17.4749230729734,0.014,0.022,28/09/2023 11:30:35 p.m.,638315406350000000
25,World,388966.299677226,804986.846912499,17.4232477077087,0.011,0.019,28/09/2023 11:30:36 p.m.,638315406360000000
26,World,388966.239227275,804986.754843888,17.3598720990342,0.012,0.02,28/09/2023 11:30:37 p.m.,638315406370000000
27,World,388966.2584603,804986.760582089,17.3660211537243,0.013,0.021,28/09/2023 11:30:38 p.m.,638315406380000000
