type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388966.220857802,804986.768278152,17.5162150761435,0.024,0.057,16/10/2023 4:16:28 a.m.,638330265880000000
World,388966.21617302,804986.777789517,17.522891551221,0.025,0.059,16/10/2023 4:16:29 a.m.,638330265890000000
World,388966.230819773,804986.785758993,17.4633196094554,0.017,0.033,16/10/2023 4:16:30 a.m.,638330265900000000
World,388966.232568545,804986.76551915,17.4526184244757,0.016,0.032,16/10/2023 4:16:31 a.m.,638330265910000000
World,388966.231527694,804986.769484788,17.4475027109812,0.017,0.034,16/10/2023 4:16:32 a.m.,638330265920000000
World,388966.223697866,804986.756927051,17.4734954138852,0.016,0.031,16/10/2023 4:16:33 a.m.,638330265930000000
World,388965.708191854,804986.912306975,17.6336520271523,0.017,0.034,16/10/2023 4:16:34 a.m.,638330265940000000
World,388964.583157399,804987.574834607,17.6102176995595,0.018,0.034,16/10/2023 4:16:35 a.m.,638330265950000000
World,388963.307278882,804988.442482284,17.6253295176899,0.02,0.038,16/10/2023 4:16:36 a.m.,638330265960000000
World,388962.11382807,804989.388314449,17.6793015098011,0.02,0.038,16/10/2023 4:16:37 a.m.,638330265970000000
World,388960.846555201,804990.233673383,17.690980255269,0.022,0.04,16/10/2023 4:16:38 a.m.,638330265980000000
World,388959.442866607,804990.803657911,17.7349771720614,0.03,0.049,16/10/2023 4:16:39 a.m.,638330265990000000
World,388958.013926179,804991.300214847,17.8191933629777,0.028,0.049,16/10/2023 4:16:40 a.m.,638330266000000000
World,388956.637300773,804991.674688638,17.7390231857147,0.028,0.05,16/10/2023 4:16:41 a.m.,638330266010000000
World,388955.237871218,804991.999460339,17.8056052543782,0.026,0.049,16/10/2023 4:16:42 a.m.,638330266020000000
World,388953.843140286,804992.223822733,17.8488404024584,0.031,0.081,16/10/2023 4:16:43 a.m.,638330266030000000
World,388952.385793213,804992.496324502,17.836434901433,0.032,0.083,16/10/2023 4:16:44 a.m.,638330266040000000
World,388950.894823678,804992.739490092,17.8498328200775,0.032,0.083,16/10/2023 4:16:45 a.m.,638330266050000000
World,388949.378978069,804992.936635216,17.8048405524542,0.021,0.06,16/10/2023 4:16:46 a.m.,638330266060000000
World,388947.860311169,804993.13749736,17.7874240491822,0.022,0.06,16/10/2023 4:16:47 a.m.,638330266070000000
World,388946.270447106,804993.340807046,17.7857699994092,0.022,0.061,16/10/2023 4:16:48 a.m.,638330266080000000
World,388944.741846077,804993.631719772,17.8067944774094,0.019,0.05,16/10/2023 4:16:49 a.m.,638330266090000000
World,388943.22441843,804993.852196883,17.8034819838096,0.019,0.051,16/10/2023 4:16:50 a.m.,638330266100000000
World,388941.537058164,804993.950242739,17.8112910864567,0.017,0.041,16/10/2023 4:16:51 a.m.,638330266110000000
World,388939.916391724,804994.105350959,17.8391034296091,0.018,0.042,16/10/2023 4:16:52 a.m.,638330266120000000
World,388938.49464597,804994.300664982,17.8966791476401,0.016,0.037,16/10/2023 4:16:53 a.m.,638330266130000000
World,388937.222367778,804994.45570792,17.9066917278609,0.016,0.037,16/10/2023 4:16:54 a.m.,638330266140000000
World,388936.095524908,804994.803357975,17.8914952710127,0.017,0.039,16/10/2023 4:16:55 a.m.,638330266150000000
World,388935.40894236,804995.069941003,17.8294363336101,0.015,0.036,16/10/2023 4:16:56 a.m.,638330266160000000
World,388935.152223701,804995.121164063,17.7483458663982,0.014,0.034,16/10/2023 4:16:57 a.m.,638330266170000000
World,388935.128885747,804995.118667413,17.7373407537661,0.015,0.034,16/10/2023 4:16:58 a.m.,638330266180000000
