peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.223697866,804986.756927051,17.4734954138852,0.016,0.031,388966.16129838,804986.783284099,17.5361389843901,0.106320205195264,0.0751205665728406,388966.223697866,804986.756927051,17.4734954138852,0.016,0.031
2,388935.065729151,804995.080207941,17.722533874836,0.014,0.03,388935.151794634,804995.08365209,17.7924662941202,0.120357734649401,0.112084967698956,388935.065729151,804995.080207941,17.722533874836,0.014,0.03
3,388915.098561407,804996.133312225,17.847487482523,0.014,0.023,388915.092750047,804996.12174632,17.8552362821419,0.0871466309002032,0.104472839224613,388915.098561407,804996.133312225,17.847487482523,0.014,0.023
4,388856.101801208,805002.335010595,18.1111107960826,0.013,0.02,388856.095094492,805002.411602086,18.1537668499907,0.0857405443572588,0.0518003470764515,388856.101801208,805002.335010595,18.1111107960826,0.013,0.02
5,388871.059687009,805052.41713802,19.0163077513327,0.166530151919802,0.0786620801306654,388871.059687009,805052.41713802,19.0163077513327,0.166530151919802,0.0786620801306654,388870.5640875,805050.813896431,21.4025174807301,0.813,0.845
6,388871.808421134,805053.356542168,18.8761594240899,0.102340109851085,0.0697763843658657,388871.808421134,805053.356542168,18.8761594240899,0.102340109851085,0.0697763843658657,388871.089641818,805051.635339759,21.4281744243022,0.822,0.854
7,388932.398091366,805058.131165474,17.668884868884,0.01,0.014,388932.544619384,805058.110919997,17.6873136651396,0.108495512581277,0.0590201575718941,388932.398091366,805058.131165474,17.668884868884,0.01,0.014
8,388937.182959384,805075.608785731,17.5947366301946,0.044,0.069,388937.405303683,805075.808155546,17.6896892809611,0.136688082659066,0.0411477619461333,388937.182959384,805075.608785731,17.5947366301946,0.044,0.069
9,388955.550226966,805082.287806094,17.6073110437777,0.096,0.184,388889.090407368,804966.251689784,18.0202756162031,0.181471053742186,0.13428112290005,388955.550226966,805082.287806094,17.6073110437777,0.096,0.184
10,388954.254919604,805116.850196456,17.4415161223576,0.016,0.024,389013.360866183,804959.433200355,7.30425346028268,0.741888637180542,0.142522250382528,388954.254919604,805116.850196456,17.4415161223576,0.016,0.024
11,388965.809067599,805075.798212918,17.5601451071131,0.084,0.091,388966.186642563,805075.555942155,17.5716597642107,0.185084419280004,0.106404317554529,388965.809067599,805075.798212918,17.5601451071131,0.084,0.091
12,388973.337517067,805071.414909648,17.5864658988193,0.145977232121298,0.112025793054998,388973.337517067,805071.414909648,17.5864658988193,0.145977232121298,0.112025793054998,388973.003189833,805071.691033379,17.8674639428658,0.319,0.3
13,388980.807200468,805067.097689303,17.0037461637307,0.0946994207899087,0.0776795511957254,388980.807200468,805067.097689303,17.0037461637307,0.0946994207899087,0.0776795511957254,388979.979230077,805067.599402544,17.7837902920621,0.514,0.506
