peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.409070521,804986.958545905,17.2534455829727,0.168,0.207,388935.537065378,804995.054083446,17.7483231252906,0.0,0.0,388966.409070521,804986.958545905,17.2534455829727,0.168,0.207
2,388934.926101517,804995.180915311,17.5449330782565,0.015,0.046,388935.517055227,804995.07138758,17.7479959505942,1.27626168686517,0.682852320497328,388934.926101517,804995.180915311,17.5449330782565,0.015,0.046
3,388914.951047477,804996.250469446,17.7313340422087,0.014,0.035,388914.228223592,804996.293570917,17.7036463152209,0.419559631154026,0.231149616402577,388914.951047477,804996.250469446,17.7313340422087,0.014,0.035
4,388855.942434073,805002.455422797,18.0223540849575,0.014,0.033,388855.347004621,805002.40983493,18.048825446308,0.476967926938966,0.0779753811343752,388855.942434073,805002.455422797,18.0223540849575,0.014,0.033
5,388871.237525782,805052.662955776,19.2913823617883,0.223917920954673,0.207048292270144,388871.237525782,805052.662955776,19.2913823617883,0.223917920954673,0.207048292270144,388871.178306407,805051.26629057,18.872709954349,0.829,0.889
6,388871.876166716,805053.611024764,19.3236775997921,0.241550316501656,0.219097979626075,388871.876166716,805053.611024764,19.3236775997921,0.241550316501656,0.219097979626075,388871.710533439,805052.170587318,18.8608395043079,0.873,0.926
7,388932.269782044,805058.238901911,17.5170935774473,0.015,0.046,388966.526892521,804983.57168359,15.7313793322201,0.241550316501656,0.219097979626075,388932.269782044,805058.238901911,17.5170935774473,0.015,0.046
8,388937.057924912,805075.800051015,17.3879903784284,0.053,0.066,388934.207918598,805045.315803993,17.9917259838028,36.5386102203804,1.22509455555154,388937.057924912,805075.800051015,17.3879903784284,0.053,0.066
9,388955.461862261,805082.394273971,17.5435305576852,0.105,0.165,388974.346604727,805101.881731362,17.7305473055258,27.8217139700513,0.349848264296674,388955.461862261,805082.394273971,17.5435305576852,0.105,0.165
10,388954.065472168,805117.303571425,17.4922688126669,0.333339665380828,0.259318354975797,388954.065472168,805117.303571425,17.4922688126669,0.333339665380828,0.259318354975797,388955.196225123,805116.270515179,18.4236189254972,0.691,0.61
11,388965.816568728,805075.735878634,17.7596976426243,0.290444453778317,0.259168165980314,388965.816568728,805075.735878634,17.7596976426243,0.290444453778317,0.259168165980314,388965.803200096,805075.947626305,17.3548824850724,0.438,0.607
12,388970.960029935,805068.088371063,16.3637053749623,0.290444453778317,0.259168165980314,388970.960029935,805068.088371063,16.3637053749623,0.290444453778317,0.259168165980314,388973.173921933,805071.842100183,16.8888019478724,0.489,0.645
13,388978.26490682,805063.37061646,16.4164408697652,0.290444453778317,0.259168165980314,388978.26490682,805063.37061646,16.4164408697652,0.290444453778317,0.259168165980314,388980.511502335,805067.476793886,16.8890301949392,0.486,0.679
14,388987.532259271,805026.262552226,17.0127814244717,0.111,0.072,388982.421071882,805021.75481088,16.4976985344597,0.290444453778317,0.259168165980314,388987.532259271,805026.262552226,17.0127814244717,0.111,0.072
15,388986.696599394,805016.549697389,17.0751340240823,0.023,0.053,388980.298177114,805012.668656598,16.231217284779,0.290444453778317,0.259168165980314,388986.696599394,805016.549697389,17.0751340240823,0.023,0.053
