peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.223535561,804986.75252153,17.4020176501059,0.011,0.016,388968.467337205,804988.862965299,17.4221921673816,0.281734034730543,0.0576078399521996,388966.223535561,804986.75252153,17.4020176501059,0.011,0.016
2,388935.061749955,804995.091693814,17.6545730526268,0.01,0.015,388936.001944499,804995.035999597,17.7804690808317,2.21879280078168,0.205945134073588,388935.061749955,804995.091693814,17.6545730526268,0.01,0.015
3,388915.090114728,804996.128631514,17.800700645187,0.009,0.014,388914.98361886,804996.096667439,17.8143869371683,0.113528151274877,0.0496492893434263,388915.090114728,804996.128631514,17.800700645187,0.009,0.014
4,388856.100807917,805002.328149589,18.0652103681617,0.01,0.015,388856.990197445,805002.623178755,18.4748591543812,0.0877148936316482,0.0432973990020071,388856.100807917,805002.328149589,18.0652103681617,0.01,0.015
5,388871.213798777,805051.940912942,19.7903874763536,0.342,0.815,388873.095591457,805052.153343807,19.8146383164216,0.25081772666772,0.186337350343301,388871.213798777,805051.940912942,19.7903874763536,0.342,0.815
6,388872.027758587,805053.212684292,18.9556663181735,0.028,0.055,388872.202537342,805053.492642822,18.9658726226866,0.503282128621678,0.31187900156922,388872.027758587,805053.212684292,18.9556663181735,0.028,0.055
7,388932.399647714,805058.120670559,17.6127694828895,0.012,0.017,388932.666714417,805058.192074658,17.6739325335341,0.213084923479853,0.135403517460592,388932.399647714,805058.120670559,17.6127694828895,0.012,0.017
8,388937.207194691,805075.610835598,17.4134482593119,0.044,0.048,388937.393715866,805075.77922523,17.4357681102628,0.21109226466939,0.07132344832012,388937.207194691,805075.610835598,17.4134482593119,0.044,0.048
9,388955.700611077,805082.26512182,17.5048727445121,0.018,0.024,388955.566951122,805082.317536798,17.5079588649173,0.187482643401989,0.176140533175918,388955.700611077,805082.26512182,17.5048727445121,0.018,0.024
10,388954.659181335,805116.670540593,17.8545509705957,0.217,0.264,388951.977311586,805115.737836793,21.271201322728,0.248062705763173,0.217242992583829,388954.659181335,805116.670540593,17.8545509705957,0.217,0.264
11,388966.377124867,805075.718398449,18.9664321022424,0.937,1.312,388969.230520736,805094.362158964,15.231739235079,9.7700938414579,0.53522659429909,388966.377124867,805075.718398449,18.9664321022424,0.937,1.312
12,388973.947746897,805071.153046541,17.9886321964345,1.314,2.217,388977.693672355,805094.25873418,15.9134173728319,9.7700938414579,0.53522659429909,388973.947746897,805071.153046541,17.9886321964345,1.314,2.217
13,388981.412780192,805066.944077134,17.8516414195419,1.464,2.37,388986.462366557,805094.175606438,16.6718195623957,9.7700938414579,0.53522659429909,388981.412780192,805066.944077134,17.8516414195419,1.464,2.37
14,388987.670863107,805026.176227392,17.1842521962966,0.014,0.017,388987.499438766,805025.948881679,17.3493849267928,0.278914595109361,0.363391701266584,388987.670863107,805026.176227392,17.1842521962966,0.014,0.017
15,388986.874017342,805016.425375392,17.1525636397294,0.022,0.031,388986.797118108,805016.408751686,17.2893315931768,0.282663226486724,0.373922146592647,388986.874017342,805016.425375392,17.1525636397294,0.022,0.031
