peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.224137766,804986.74387509,17.4475683012517,0.012,0.021,388966.316936974,804986.688563488,17.4460704352371,0.0670725669922193,0.0327554800320909,388966.224137766,804986.74387509,17.4475683012517,0.012,0.021
2,388935.031795277,804995.074742257,17.70566389597,0.008,0.013,388935.322990268,804994.971016742,17.6124417441931,0.241709382769823,0.15134048098951,388935.031795277,804995.074742257,17.70566389597,0.008,0.013
3,388915.094780597,804996.138870595,17.8492761277118,0.008,0.014,388915.075005443,804996.148456913,17.8285473780907,0.16439139397626,0.0488456142033043,388915.094780597,804996.138870595,17.8492761277118,0.008,0.014
4,388856.100620397,805002.335768309,18.1139405937881,0.01,0.015,388855.986629153,805002.453854347,18.0667771804637,0.0852344078299785,0.0277777277605401,388856.100620397,805002.335768309,18.1139405937881,0.01,0.015
5,388875.379910701,805052.565476943,19.5689315468731,0.186232248938778,0.0684180025202472,388875.379910701,805052.565476943,19.5689315468731,0.186232248938778,0.0684180025202472,388870.81954667,805050.980145366,17.9301384711874,0.673,0.816
6,388871.992744592,805053.205600223,18.9781020866193,0.103,0.34,388875.999322601,805053.502969634,19.6250959960264,0.184593622116534,0.0705728510755078,388871.992744592,805053.205600223,18.9781020866193,0.103,0.34
7,388932.291013029,805058.093555907,17.7467835565562,0.01,0.015,388931.097920957,805058.063495651,17.6598932257837,0.324663103713116,0.124547921666296,388932.291013029,805058.093555907,17.7467835565562,0.01,0.015
8,388937.134195171,805075.4416958,17.4868068970611,0.042,0.068,388937.589809338,805042.687163963,17.4681083841857,2.75222962312634,0.132143059215677,388937.134195171,805075.4416958,17.4868068970611,0.042,0.068
9,388955.637781245,805082.403996676,17.5634937367247,0.104,0.182,388955.418924635,805082.304306637,17.8703047017089,0.188961947287258,0.104538742325421,388955.637781245,805082.403996676,17.5634937367247,0.104,0.182
10,388953.742221109,805116.395053259,11.4651512399669,0.138023481954214,0.11087698494144,388953.742221109,805116.395053259,11.4651512399669,0.138023481954214,0.11087698494144,388953.824073171,805114.974294921,19.6024296141335,1.097,1.793
11,388965.553894664,805075.625987611,16.9925451343354,0.115,0.192,388966.059525034,805075.44745786,17.4387164603006,0.150235870104771,0.0819356796858747,388965.553894664,805075.625987611,16.9925451343354,0.115,0.192
12,388973.371041387,805071.304717712,17.664600605263,0.115023608909251,0.0855395165913474,388973.371041387,805071.304717712,17.664600605263,0.115023608909251,0.0855395165913474,388972.438038798,805072.062268405,17.2545563657598,0.301,0.389
13,388978.758871432,805066.859032559,14.8592426376701,0.104182674368181,0.0719843420323998,388978.758871432,805066.859032559,14.8592426376701,0.104182674368181,0.0719843420323998,388980.188141532,805067.029478087,19.8240073464816,1.246,2.07
14,388987.692946088,805026.161655665,17.2942217457653,0.014,0.028,388987.732788535,805026.247162868,17.2800532430922,0.0678122279919274,0.0985267146063137,388987.692946088,805026.161655665,17.2942217457653,0.014,0.028
