id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388968.042541584,804991.565798102,17.5741069427945,0.008,0.013,16/10/2023 3:49:42 a.m.,638330249820000000
2,World,388967.919682374,804991.676228763,17.5154494527612,0.008,0.014,16/10/2023 3:49:43 a.m.,638330249830000000
3,World,388966.682106849,804991.889416358,17.6201002828884,0.008,0.013,16/10/2023 3:49:44 a.m.,638330249840000000
4,World,388965.3945255,804992.196354485,17.6212753195093,0.009,0.015,16/10/2023 3:49:45 a.m.,638330249850000000
5,World,388964.221447637,804992.427281597,17.6170350252161,0.01,0.016,16/10/2023 3:49:46 a.m.,638330249860000000
6,World,388963.116179564,804992.585744187,17.6381896849553,0.01,0.017,16/10/2023 3:49:47 a.m.,638330249870000000
7,World,388961.956989726,804992.702219881,17.6377620420081,0.011,0.018,16/10/2023 3:49:48 a.m.,638330249880000000
8,World,388960.975584766,804992.8996589,17.6262628003094,0.01,0.017,16/10/2023 3:49:49 a.m.,638330249890000000
9,World,388960.213712201,804992.967658966,17.6139188930219,0.009,0.015,16/10/2023 3:49:50 a.m.,638330249900000000
10,World,388960.204767812,804992.683795505,17.6298271773032,0.01,0.016,16/10/2023 3:49:51 a.m.,638330249910000000
11,World,388960.89296991,804992.067566588,17.6876307532141,0.011,0.018,16/10/2023 3:49:52 a.m.,638330249920000000
12,World,388961.698578732,804991.310407616,17.6345535199073,0.012,0.02,16/10/2023 3:49:53 a.m.,638330249930000000
13,World,388962.518526809,804990.519305966,17.691473654812,0.01,0.016,16/10/2023 3:49:54 a.m.,638330249940000000
14,World,388963.381142986,804989.809097362,17.6773888216948,0.01,0.017,16/10/2023 3:49:55 a.m.,638330249950000000
15,World,388964.303524115,804989.128598953,17.6395912982691,0.01,0.016,16/10/2023 3:49:56 a.m.,638330249960000000
16,World,388965.108687907,804988.449565673,17.644761364271,0.011,0.018,16/10/2023 3:49:57 a.m.,638330249970000000
17,World,388965.727779228,804987.746174475,17.618675133826,0.012,0.018,16/10/2023 3:49:58 a.m.,638330249980000000
18,World,388966.159705154,804987.089692275,17.5773823602478,0.013,0.019,16/10/2023 3:49:59 a.m.,638330249990000000
19,World,388966.292253233,804986.820747899,17.5219415134488,0.014,0.023,16/10/2023 3:50:00 a.m.,638330250000000000
20,World,388966.271000399,804986.797865335,17.4386814229407,0.013,0.021,16/10/2023 3:50:01 a.m.,638330250010000000
21,World,388966.284924406,804986.770169991,17.4164864679303,0.012,0.022,16/10/2023 3:50:02 a.m.,638330250020000000
22,World,388966.242255579,804986.759840843,17.4248530670947,0.013,0.023,16/10/2023 3:50:03 a.m.,638330250030000000
23,World,388966.224136963,804986.732128878,17.4221464255299,0.015,0.026,16/10/2023 3:50:04 a.m.,638330250040000000
24,World,388966.227837053,804986.763219407,17.5008635786263,0.014,0.026,16/10/2023 3:50:05 a.m.,638330250050000000
25,World,388966.219551515,804986.748356169,17.4599838289353,0.011,0.019,16/10/2023 3:50:06 a.m.,638330250060000000
26,World,388966.219057104,804986.748034018,17.4571781616156,0.012,0.021,16/10/2023 3:50:07 a.m.,638330250070000000
27,World,388966.224137766,804986.74387509,17.4475683012517,0.012,0.021,16/10/2023 3:50:08 a.m.,638330250080000000
