id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388965.602026577,804987.685092421,13.9050406513847,0.024,0.294,26/09/2023 6:10:54 a.m.,638313054540000000
2,World,388965.590582937,804987.708434383,13.8741702525675,0.024,0.294,26/09/2023 6:10:55 a.m.,638313054550000000
3,World,388965.468870574,804987.770341442,13.8686785745888,0.024,0.294,26/09/2023 6:10:56 a.m.,638313054560000000
4,World,388964.774426906,804988.010889597,13.8822966626386,0.026,0.294,26/09/2023 6:10:57 a.m.,638313054570000000
5,World,388963.9629571,804988.206689142,13.8770517017331,0.026,0.294,26/09/2023 6:10:58 a.m.,638313054580000000
6,World,388963.167081579,804988.417399281,13.8928379178769,0.026,0.294,26/09/2023 6:10:59 a.m.,638313054590000000
7,World,388962.432165986,804988.520195805,13.8163205845157,0.027,0.295,26/09/2023 6:11:00 a.m.,638313054600000000
8,World,388961.767819487,804988.418106559,13.8666810845605,0.027,0.295,26/09/2023 6:11:01 a.m.,638313054610000000
9,World,388961.566995693,804987.796537493,13.8713432259594,0.027,0.295,26/09/2023 6:11:02 a.m.,638313054620000000
10,World,388961.839349941,804987.173020809,13.9066681862258,0.031,0.298,26/09/2023 6:11:03 a.m.,638313054630000000
11,World,388962.359761028,804986.804835889,13.9393437244424,0.031,0.298,26/09/2023 6:11:04 a.m.,638313054640000000
12,World,388963.041786478,804986.493626132,14.0289253315907,0.042,0.31,26/09/2023 6:11:05 a.m.,638313054650000000
13,World,388963.790155695,804986.25536296,14.0472289523992,0.03,0.296,26/09/2023 6:11:06 a.m.,638313054660000000
14,World,388964.51792164,804986.116834667,14.1882076054714,0.03,0.296,26/09/2023 6:11:07 a.m.,638313054670000000
15,World,388965.201244301,804985.935719391,14.0845828393134,0.03,0.297,26/09/2023 6:11:08 a.m.,638313054680000000
16,World,388965.928961415,804985.64031431,13.9381488275429,0.034,0.299,26/09/2023 6:11:09 a.m.,638313054690000000
17,World,388966.633164359,804985.532058855,13.7826839213734,0.034,0.3,26/09/2023 6:11:10 a.m.,638313054700000000
18,World,388967.605308465,804986.561404178,15.7039706438261,3.692,2.315,26/09/2023 6:11:11 a.m.,638313054710000000
19,World,388968.197554582,804986.701937691,15.6936018821431,3.316,2.305,26/09/2023 6:11:12 a.m.,638313054720000000
20,World,388968.539403593,804987.276910073,15.7042648305812,3.063,2.262,26/09/2023 6:11:13 a.m.,638313054730000000
21,World,388968.640924249,804988.097373516,17.827074144631,0.456,0.222,26/09/2023 6:11:14 a.m.,638313054740000000
22,World,388968.513312877,804988.793462102,17.8711904885194,0.456,0.222,26/09/2023 6:11:15 a.m.,638313054750000000
23,World,388967.944989414,804989.308446542,17.876778085289,0.456,0.222,26/09/2023 6:11:16 a.m.,638313054760000000
24,World,388967.122728534,804989.596132034,17.8638600296263,0.456,0.222,26/09/2023 6:11:17 a.m.,638313054770000000
25,World,388966.402501152,804989.591792505,17.8580718703932,0.456,0.222,26/09/2023 6:11:18 a.m.,638313054780000000
26,World,388966.437658835,804988.883505423,17.5622152540232,0.418,0.263,26/09/2023 6:11:19 a.m.,638313054790000000
27,World,388966.398510916,804988.216741228,17.5122254615462,0.419,0.264,26/09/2023 6:11:20 a.m.,638313054800000000
28,World,388966.576721546,804987.781135282,17.5543929260311,0.419,0.264,26/09/2023 6:11:21 a.m.,638313054810000000
