id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
47,World,388955.011526532,804991.657813139,17.6623182531866,0.017,0.026,28/09/2023 11:19:24 p.m.,638315399640000000
48,World,388953.559310219,804992.011488855,17.6981475908488,0.017,0.028,28/09/2023 11:19:25 p.m.,638315399650000000
49,World,388952.052148002,804992.299510911,17.6808198334185,0.018,0.029,28/09/2023 11:19:26 p.m.,638315399660000000
50,World,388950.5335956,804992.54610665,17.6829237311699,0.017,0.027,28/09/2023 11:19:27 p.m.,638315399670000000
51,World,388948.975207045,804992.836775517,17.6609221808571,0.017,0.028,28/09/2023 11:19:28 p.m.,638315399680000000
52,World,388947.459000635,804993.125194952,17.6531738779716,0.015,0.023,28/09/2023 11:19:29 p.m.,638315399690000000
53,World,388945.957853458,804993.362155029,17.6574490286728,0.011,0.018,28/09/2023 11:19:30 p.m.,638315399700000000
54,World,388944.437167823,804993.628375679,17.6774475680478,0.012,0.02,28/09/2023 11:19:31 p.m.,638315399710000000
55,World,388942.920939537,804993.835396729,17.7176014802725,0.01,0.016,28/09/2023 11:19:32 p.m.,638315399720000000
56,World,388941.426097196,804994.071762991,17.7197905294943,0.011,0.018,28/09/2023 11:19:33 p.m.,638315399730000000
57,World,388939.91825932,804994.290277126,17.7248479411583,0.009,0.016,28/09/2023 11:19:34 p.m.,638315399740000000
58,World,388938.44878301,804994.492394942,17.7510540852778,0.01,0.016,28/09/2023 11:19:35 p.m.,638315399750000000
59,World,388937.130703634,804994.688937379,17.7798414475277,0.008,0.015,28/09/2023 11:19:36 p.m.,638315399760000000
60,World,388936.084558619,804994.86683369,17.7522519833279,0.009,0.016,28/09/2023 11:19:37 p.m.,638315399770000000
61,World,388935.365855362,804995.002769024,17.7387346531584,0.008,0.015,28/09/2023 11:19:38 p.m.,638315399780000000
62,World,388935.075214561,804995.05821043,17.6628668820159,0.009,0.016,28/09/2023 11:19:39 p.m.,638315399790000000
63,World,388935.060977253,804995.042793334,17.6331720475604,0.008,0.015,28/09/2023 11:19:40 p.m.,638315399800000000
64,World,388935.05998752,804995.045447743,17.6394501251801,0.009,0.016,28/09/2023 11:19:41 p.m.,638315399810000000
65,World,388935.053537809,804995.050843201,17.633380518561,0.01,0.017,28/09/2023 11:19:42 p.m.,638315399820000000
66,World,388935.060779653,804995.069269286,17.6513025268302,0.009,0.016,28/09/2023 11:19:43 p.m.,638315399830000000
