peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.226249228,804986.742459652,17.39955470406,0.014,0.023,388967.295955029,804986.099500583,17.4974200534222,1.69532261690551,0.104755975938452,388966.226249228,804986.742459652,17.39955470406,0.014,0.023
2,388935.052955583,804995.07297732,17.6536206414912,0.009,0.014,388934.959875436,804995.08694823,17.6341861611673,0.51932333655351,0.0896131776105143,388935.052955583,804995.07297732,17.6536206414912,0.009,0.014
3,388915.085775275,804996.133745979,17.8023144360707,0.008,0.012,388914.819808162,804996.169605541,17.8127744901407,0.171578815442192,0.0509921606176212,388915.085775275,804996.133745979,17.8023144360707,0.008,0.012
4,388856.091642718,805002.326818364,18.0697763494764,0.008,0.013,388855.946272179,805002.296701373,18.1662411620209,0.110459108567023,0.0370329334529517,388856.091642718,805002.326818364,18.0697763494764,0.008,0.013
5,388876.480613754,805050.768672379,20.6664758681381,0.260698071170506,0.173744357267316,388876.480613754,805050.768672379,20.6664758681381,0.260698071170506,0.173744357267316,388870.743679061,805050.544752513,19.0984175300423,0.613,0.664
6,388877.235246903,805051.760407488,20.6095860313562,0.28045988120571,0.180871867932827,388877.235246903,805051.760407488,20.6095860313562,0.28045988120571,0.180871867932827,388871.991808245,805053.308912329,19.0375210446432,0.374,0.769
7,388932.40352002,805058.112910908,17.6140329720158,0.009,0.012,388932.560160792,805058.113607673,17.6110065601278,0.190983113818505,0.280544626579651,388932.40352002,805058.112910908,17.6140329720158,0.009,0.012
8,388937.253605803,805075.515715698,17.5699220011283,0.049,0.06,388937.419095965,805075.737939287,17.5927114332294,0.216976757335707,0.163157644889882,388937.253605803,805075.515715698,17.5699220011283,0.049,0.06
9,388955.727555246,805082.266104031,17.4849565583988,0.038,0.03,388955.697405748,805082.342179595,17.3782821532113,0.184521778375724,0.15183658106251,388955.727555246,805082.266104031,17.4849565583988,0.038,0.03
10,388954.406495203,805117.294222294,16.8204817312668,0.243373554504631,0.184861434885716,388954.406495203,805117.294222294,16.8204817312668,0.243373554504631,0.184861434885716,388954.482475207,805115.991527599,19.0255725353894,0.884,1.299
11,388965.910832617,805075.451363484,17.3529381058891,0.185837727426211,0.14700489052289,388965.910832617,805075.451363484,17.3529381058891,0.185837727426211,0.14700489052289,388966.053975934,805075.454803091,18.5320164256049,0.859,1.263
12,388972.819203448,805072.705063945,19.2752042506858,0.173852859393128,0.135596798856065,388972.819203448,805072.705063945,19.2752042506858,0.173852859393128,0.135596798856065,388974.152131998,805071.508737698,19.791119325501,0.97,1.447
13,388979.831292322,805068.423936711,18.3341200249237,0.173852859393128,0.135596798856065,388979.831292322,805068.423936711,18.3341200249237,0.173852859393128,0.135596798856065,388981.267162523,805067.320409469,18.6481758155851,0.828,1.274
14,388988.266314751,805027.230512139,18.4526160923302,0.173852859393128,0.135596798856065,388988.266314751,805027.230512139,18.4526160923302,0.173852859393128,0.135596798856065,388987.74001522,805027.116260419,18.2786774109289,0.921,1.076
15,388987.824278754,805017.549938542,18.8707947107131,0.173852859393128,0.135596798856065,388987.824278754,805017.549938542,18.8707947107131,0.173852859393128,0.135596798856065,388986.936485332,805017.130236381,18.1740448264795,0.581,0.75
