id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
35,World,388966.226249228,804986.742459652,17.39955470406,0.014,0.023,28/09/2023 11:19:12 p.m.,638315399520000000
74,World,388935.052955583,804995.07297732,17.6536206414912,0.009,0.014,28/09/2023 11:19:51 p.m.,638315399910000000
95,World,388915.085775275,804996.133745979,17.8023144360707,0.008,0.012,28/09/2023 11:20:12 p.m.,638315400120000000
158,World,388856.091642718,805002.326818364,18.0697763494764,0.008,0.013,28/09/2023 11:21:15 p.m.,638315400750000000
889,Device,388876.480613754,805050.768672379,20.6664758681381,0.260698071170506,0.173744357267316,28/09/2023 11:22:10 p.m.,638315401300083870
1394,Device,388877.235246903,805051.760407488,20.6095860313562,0.28045988120571,0.180871867932827,28/09/2023 11:22:28 p.m.,638315401480062780
1467,World,388932.40352002,805058.112910908,17.6140329720158,0.009,0.012,28/09/2023 11:23:22 p.m.,638315402020000000
1497,World,388937.253605803,805075.515715698,17.5699220011283,0.049,0.06,28/09/2023 11:23:52 p.m.,638315402320000000
1557,World,388955.727555246,805082.266104031,17.4849565583988,0.038,0.03,28/09/2023 11:24:21 p.m.,638315402610000000
2182,Device,388954.406495203,805117.294222294,16.8204817312668,0.243373554504631,0.184861434885716,28/09/2023 11:25:01 p.m.,638315403010140150
2506,Device,388965.910832617,805075.451363484,17.3529381058891,0.185837727426211,0.14700489052289,28/09/2023 11:25:39 p.m.,638315403399912450
3311,Device,388972.819203448,805072.705063945,19.2752042506858,0.173852859393128,0.135596798856065,28/09/2023 11:26:07 p.m.,638315403679899030
3759,Device,388979.831292322,805068.423936711,18.3341200249237,0.173852859393128,0.135596798856065,28/09/2023 11:26:23 p.m.,638315403830126180
5111,Device,388988.266314751,805027.230512139,18.4526160923302,0.173852859393128,0.135596798856065,28/09/2023 11:27:08 p.m.,638315404289848130
5766,Device,388987.824278754,805017.549938542,18.8707947107131,0.173852859393128,0.135596798856065,28/09/2023 11:27:30 p.m.,638315404509849520
