type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388963.842951938,804987.001345732,17.6631782750469,0.013,0.025,26/09/2023 5:45:01 a.m.,638313039010000000
World,388964.10840141,804986.403036981,17.7044245155744,0.013,0.027,26/09/2023 5:45:02 a.m.,638313039020000000
World,388964.706927513,804986.099477081,17.6701102972579,0.014,0.026,26/09/2023 5:45:03 a.m.,638313039030000000
World,388965.436737759,804985.983187359,17.6376560508089,0.014,0.026,26/09/2023 5:45:04 a.m.,638313039040000000
World,388966.138185985,804986.011849709,17.7381590244034,0.016,0.029,26/09/2023 5:45:05 a.m.,638313039050000000
World,388966.952636421,804986.352251315,17.6138519157564,0.019,0.034,26/09/2023 5:45:06 a.m.,638313039060000000
World,388967.34339985,804986.592403115,17.6749642101217,0.019,0.035,26/09/2023 5:45:07 a.m.,638313039070000000
World,388967.482291367,804986.514149445,17.6886296335969,0.018,0.033,26/09/2023 5:45:08 a.m.,638313039080000000
World,388967.309568084,804986.573587144,17.7614779506691,0.019,0.036,26/09/2023 5:45:09 a.m.,638313039090000000
World,388967.005338257,804986.437005643,17.7302192526113,0.019,0.038,26/09/2023 5:45:10 a.m.,638313039100000000
World,388966.71465415,804986.597025634,17.7627803346137,0.021,0.041,26/09/2023 5:45:11 a.m.,638313039110000000
World,388966.334266968,804986.633222593,17.5014908100015,0.018,0.039,26/09/2023 5:45:12 a.m.,638313039120000000
World,388966.235866426,804986.700707304,17.4086392900274,0.016,0.032,26/09/2023 5:45:13 a.m.,638313039130000000
World,388966.229161771,804986.694262319,17.3927255323559,0.016,0.033,26/09/2023 5:45:14 a.m.,638313039140000000
World,388966.219030032,804986.695895285,17.3821231425754,0.014,0.029,26/09/2023 5:45:15 a.m.,638313039150000000
World,388966.23967725,804986.695336208,17.3845474451767,0.015,0.031,26/09/2023 5:45:16 a.m.,638313039160000000
World,388966.237618505,804986.692798913,17.3789784747951,0.014,0.027,26/09/2023 5:45:17 a.m.,638313039170000000
World,388966.23367316,804986.702347293,17.3774189385725,0.014,0.028,26/09/2023 5:45:18 a.m.,638313039180000000
World,388966.233734116,804986.700980526,17.3846900008813,0.015,0.029,26/09/2023 5:45:19 a.m.,638313039190000000
World,388966.226698384,804986.719080004,17.3680371094322,0.01,0.02,26/09/2023 5:45:20 a.m.,638313039200000000
World,388966.226017642,804986.716613408,17.3834420724473,0.009,0.019,26/09/2023 5:45:21 a.m.,638313039210000000
World,388966.229600101,804986.721178574,17.3840294630439,0.01,0.02,26/09/2023 5:45:22 a.m.,638313039220000000
World,388966.118573307,804986.84817365,17.4686259536244,0.011,0.021,26/09/2023 5:45:23 a.m.,638313039230000000
World,388965.446505375,804987.113179672,17.5802233224664,0.011,0.021,26/09/2023 5:45:24 a.m.,638313039240000000
World,388964.532994246,804987.544051759,17.6315987459888,0.012,0.022,26/09/2023 5:45:25 a.m.,638313039250000000
World,388963.653976834,804988.121047871,17.6312608886579,0.012,0.024,26/09/2023 5:45:26 a.m.,638313039260000000
World,388962.670617034,804988.809611435,17.6746009775818,0.014,0.03,26/09/2023 5:45:27 a.m.,638313039270000000
World,388961.439772403,804989.419861742,17.6920049130453,0.016,0.031,26/09/2023 5:45:28 a.m.,638313039280000000
World,388960.249863008,804990.071617324,17.6278845953491,0.016,0.033,26/09/2023 5:45:29 a.m.,638313039290000000
World,388959.107368122,804990.577983646,17.665461164699,0.019,0.036,26/09/2023 5:45:30 a.m.,638313039300000000
World,388958.090730615,804991.001464519,17.7057562131378,0.019,0.029,26/09/2023 5:45:31 a.m.,638313039310000000
World,388957.419832398,804991.127377131,17.6942370111272,0.02,0.032,26/09/2023 5:45:32 a.m.,638313039320000000
World,388956.758188089,804990.644851755,17.6874772036345,0.021,0.034,26/09/2023 5:45:33 a.m.,638313039330000000
World,388955.874661798,804990.137177261,17.701381163987,0.024,0.033,26/09/2023 5:45:34 a.m.,638313039340000000
World,388954.941673256,804989.91731347,17.6772130908552,0.017,0.031,26/09/2023 5:45:35 a.m.,638313039350000000
World,388953.867688616,804989.919979632,17.8033693597804,0.017,0.032,26/09/2023 5:45:36 a.m.,638313039360000000
World,388952.850089375,804989.968383491,17.8239775335579,0.014,0.028,26/09/2023 5:45:37 a.m.,638313039370000000
World,388951.849308134,804990.190936053,17.7685361673199,0.015,0.031,26/09/2023 5:45:38 a.m.,638313039380000000
World,388950.99783074,804990.704413694,17.786964828048,0.016,0.032,26/09/2023 5:45:39 a.m.,638313039390000000
World,388950.195871302,804991.367655364,17.7460167461829,0.016,0.04,26/09/2023 5:45:40 a.m.,638313039400000000
World,388949.27622888,804991.930902211,17.7928305779071,0.017,0.041,26/09/2023 5:45:41 a.m.,638313039410000000
World,388948.341322252,804992.377438672,17.8090519069257,0.014,0.033,26/09/2023 5:45:42 a.m.,638313039420000000
World,388947.36884064,804992.738246138,17.8146866084001,0.012,0.029,26/09/2023 5:45:43 a.m.,638313039430000000
World,388946.367139193,804993.005774505,17.8155662266426,0.013,0.03,26/09/2023 5:45:44 a.m.,638313039440000000
World,388945.341255792,804993.31972362,17.8396351571607,0.011,0.027,26/09/2023 5:45:45 a.m.,638313039450000000
World,388944.285881215,804993.527994198,17.8654996285859,0.012,0.029,26/09/2023 5:45:46 a.m.,638313039460000000
World,388943.213420887,804993.668990793,17.8712731661861,0.01,0.027,26/09/2023 5:45:47 a.m.,638313039470000000
World,388942.212690936,804993.764254193,17.8206781835775,0.011,0.028,26/09/2023 5:45:48 a.m.,638313039480000000
World,388941.252856936,804993.832934201,17.8490215104052,0.011,0.029,26/09/2023 5:45:49 a.m.,638313039490000000
World,388940.26386987,804993.956818617,17.85566217332,0.01,0.025,26/09/2023 5:45:50 a.m.,638313039500000000
World,388939.080629487,804994.161665972,17.8150061838979,0.009,0.02,26/09/2023 5:45:51 a.m.,638313039510000000
World,388937.825161444,804994.357211999,17.8093966463521,0.01,0.022,26/09/2023 5:45:52 a.m.,638313039520000000
World,388936.655822201,804994.465295039,17.8225147818754,0.009,0.019,26/09/2023 5:45:53 a.m.,638313039530000000
World,388935.711083577,804994.555693707,17.8677317296184,0.01,0.02,26/09/2023 5:45:54 a.m.,638313039540000000
World,388935.159030433,804994.783844745,17.8385976305729,0.009,0.018,26/09/2023 5:45:55 a.m.,638313039550000000
World,388935.052715456,804995.050945112,17.7055329737462,0.009,0.019,26/09/2023 5:45:56 a.m.,638313039560000000
World,388935.03342799,804995.09951598,17.6299496727907,0.009,0.018,26/09/2023 5:45:57 a.m.,638313039570000000
World,388935.036559867,804995.101485205,17.6410155271028,0.01,0.02,26/09/2023 5:45:58 a.m.,638313039580000000
World,388935.035151136,804995.094409529,17.6390894450047,0.009,0.018,26/09/2023 5:45:59 a.m.,638313039590000000
World,388935.011973434,804995.076401573,17.6389081288233,0.01,0.02,26/09/2023 5:46:00 a.m.,638313039600000000
World,388935.033581902,804995.069758348,17.6529284469301,0.008,0.016,26/09/2023 5:46:01 a.m.,638313039610000000
World,388935.041542791,804995.067410705,17.629397573845,0.008,0.018,26/09/2023 5:46:02 a.m.,638313039620000000
World,388935.034684415,804995.073120716,17.6336751407859,0.008,0.017,26/09/2023 5:46:03 a.m.,638313039630000000
World,388935.032373958,804995.071983544,17.64017581224,0.008,0.018,26/09/2023 5:46:04 a.m.,638313039640000000
World,388935.004995118,804995.08202834,17.6409210356184,0.008,0.018,26/09/2023 5:46:05 a.m.,638313039650000000
World,388934.336534905,804994.747883219,17.751820539085,0.008,0.019,26/09/2023 5:46:06 a.m.,638313039660000000
World,388933.209789513,804994.214628434,17.823569595713,0.008,0.018,26/09/2023 5:46:07 a.m.,638313039670000000
World,388931.944430208,804993.696967226,17.8382277969517,0.009,0.02,26/09/2023 5:46:08 a.m.,638313039680000000
World,388930.602875439,804993.379210428,17.8710107318917,0.008,0.019,26/09/2023 5:46:09 a.m.,638313039690000000
World,388929.271240521,804993.273227703,17.8809861722053,0.009,0.02,26/09/2023 5:46:10 a.m.,638313039700000000
World,388927.988350396,804993.203304748,17.8556589412408,0.01,0.022,26/09/2023 5:46:11 a.m.,638313039710000000
World,388926.73716723,804993.294957894,17.8822621379668,0.01,0.023,26/09/2023 5:46:12 a.m.,638313039720000000
World,388925.556005323,804993.567840293,17.9028788416604,0.011,0.024,26/09/2023 5:46:13 a.m.,638313039730000000
World,388924.624170622,804994.09240194,17.9035010609829,0.01,0.021,26/09/2023 5:46:14 a.m.,638313039740000000
World,388923.788040494,804994.55083006,17.9949169563009,0.009,0.018,26/09/2023 5:46:15 a.m.,638313039750000000
World,388922.918015841,804994.964787571,18.0131865551375,0.01,0.02,26/09/2023 5:46:16 a.m.,638313039760000000
World,388922.014427822,804995.193206587,17.9821877514008,0.009,0.018,26/09/2023 5:46:17 a.m.,638313039770000000
World,388922.43191691,804995.240726867,17.9823976820867,0.01,0.019,26/09/2023 5:46:18 a.m.,638313039780000000
World,388923.299356978,804995.206381934,18.0093507790829,0.011,0.02,26/09/2023 5:46:19 a.m.,638313039790000000
World,388923.622592766,804995.382636898,17.9944978295951,0.01,0.017,26/09/2023 5:46:20 a.m.,638313039800000000
World,388923.566318557,804995.433732176,17.9969688494272,0.009,0.016,26/09/2023 5:46:21 a.m.,638313039810000000
World,388924.049690557,804995.387183413,18.0147971282117,0.01,0.018,26/09/2023 5:46:22 a.m.,638313039820000000
World,388923.38071518,804995.251636969,17.9948422885598,0.01,0.019,26/09/2023 5:46:23 a.m.,638313039830000000
World,388922.151635461,804995.342944983,17.9941917247208,0.01,0.018,26/09/2023 5:46:24 a.m.,638313039840000000
World,388920.907741824,804995.370622285,17.996294440891,0.008,0.015,26/09/2023 5:46:25 a.m.,638313039850000000
World,388919.600272103,804995.515677582,18.0070403780143,0.008,0.016,26/09/2023 5:46:26 a.m.,638313039860000000
World,388918.312905262,804995.555763151,18.0102261423565,0.009,0.016,26/09/2023 5:46:27 a.m.,638313039870000000
World,388917.036106667,804995.669865688,17.9976437100712,0.01,0.018,26/09/2023 5:46:28 a.m.,638313039880000000
World,388915.853987693,804995.931880667,17.9989921188372,0.009,0.016,26/09/2023 5:46:29 a.m.,638313039890000000
World,388915.173218503,804996.127270809,17.8403954883377,0.01,0.017,26/09/2023 5:46:30 a.m.,638313039900000000
World,388915.087433084,804996.12305654,17.7867587718137,0.009,0.016,26/09/2023 5:46:31 a.m.,638313039910000000
World,388915.064313627,804996.064518343,17.8089638855155,0.01,0.017,26/09/2023 5:46:32 a.m.,638313039920000000
World,388915.096262597,804996.10576699,17.7810362218591,0.009,0.017,26/09/2023 5:46:33 a.m.,638313039930000000
World,388915.088049735,804996.146962012,17.8255530048131,0.01,0.017,26/09/2023 5:46:34 a.m.,638313039940000000
World,388915.068149395,804996.118313123,17.817654397903,0.008,0.014,26/09/2023 5:46:35 a.m.,638313039950000000
World,388915.061027933,804996.118974971,17.8099442503643,0.008,0.015,26/09/2023 5:46:36 a.m.,638313039960000000
World,388915.067506951,804996.122588544,17.8196860960863,0.008,0.014,26/09/2023 5:46:37 a.m.,638313039970000000
World,388915.063663952,804996.139931079,17.8151499082338,0.008,0.015,26/09/2023 5:46:38 a.m.,638313039980000000
World,388914.267652188,804996.027470172,17.9352463729209,0.008,0.014,26/09/2023 5:46:39 a.m.,638313039990000000
World,388912.877792706,804995.948654957,17.9792798988491,0.009,0.016,26/09/2023 5:46:40 a.m.,638313040000000000
World,388911.471384474,804996.004376936,18.0078340603809,0.008,0.015,26/09/2023 5:46:41 a.m.,638313040010000000
World,388910.068673084,804996.03890083,18.0023222392377,0.009,0.017,26/09/2023 5:46:42 a.m.,638313040020000000
World,388908.693867211,804996.105490247,17.9837592549353,0.009,0.017,26/09/2023 5:46:43 a.m.,638313040030000000
