type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388926.784743428,804995.474386623,18.0152388996393,0.009,0.015,28/09/2023 11:19:57 p.m.,638315399970000000
World,388925.102186277,804995.594937092,18.0230612722826,0.009,0.014,28/09/2023 11:19:58 p.m.,638315399980000000
World,388923.528902905,804995.651829391,18.034408955931,0.009,0.015,28/09/2023 11:19:59 p.m.,638315399990000000
World,388921.972826058,804995.65534769,18.0384887649963,0.008,0.014,28/09/2023 11:20:00 p.m.,638315400000000000
World,388920.477816054,804995.723672363,18.0427143648161,0.009,0.015,28/09/2023 11:20:01 p.m.,638315400010000000
World,388919.01013211,804995.769638385,18.041077941852,0.008,0.014,28/09/2023 11:20:02 p.m.,638315400020000000
World,388917.638757643,804995.886719689,18.0513891445865,0.009,0.014,28/09/2023 11:20:03 p.m.,638315400030000000
World,388916.368576553,804996.011876194,18.0420064009287,0.009,0.014,28/09/2023 11:20:04 p.m.,638315400040000000
World,388915.484187961,804996.153225939,17.9333042231869,0.009,0.014,28/09/2023 11:20:05 p.m.,638315400050000000
World,388915.132808415,804996.158167478,17.8174756295729,0.008,0.014,28/09/2023 11:20:06 p.m.,638315400060000000
World,388915.114535423,804996.157135242,17.7828911140164,0.009,0.015,28/09/2023 11:20:07 p.m.,638315400070000000
World,388915.105457792,804996.147612407,17.7949510928168,0.008,0.014,28/09/2023 11:20:08 p.m.,638315400080000000
World,388915.10193782,804996.130699435,17.7937104515599,0.009,0.015,28/09/2023 11:20:09 p.m.,638315400090000000
World,388915.083122014,804996.123074649,17.8044457664271,0.01,0.016,28/09/2023 11:20:10 p.m.,638315400100000000
World,388915.083955934,804996.146079776,17.8110845652027,0.009,0.014,28/09/2023 11:20:11 p.m.,638315400110000000
World,388915.085775275,804996.133745979,17.8023144360707,0.008,0.012,28/09/2023 11:20:12 p.m.,638315400120000000
World,388915.073627328,804996.136523996,17.8099031692389,0.008,0.013,28/09/2023 11:20:13 p.m.,638315400130000000
World,388915.064306786,804996.138910674,17.8072048949869,0.008,0.012,28/09/2023 11:20:14 p.m.,638315400140000000
World,388915.075354145,804996.135635129,17.8076586224857,0.009,0.013,28/09/2023 11:20:15 p.m.,638315400150000000
World,388915.077552206,804996.135922056,17.8082469868137,0.008,0.012,28/09/2023 11:20:16 p.m.,638315400160000000
World,388915.078852989,804996.133730309,17.8123255036041,0.009,0.013,28/09/2023 11:20:17 p.m.,638315400170000000
World,388915.075737288,804996.139838669,17.8120805067967,0.008,0.013,28/09/2023 11:20:18 p.m.,638315400180000000
